;;Individual_dwelling;Individual_dwelling;Individual_dwelling;Individual_dwelling;Individual_dwelling;Individual_dwelling;Individual_dwelling
;;A;B;C;D;E;F;G
Individual_dwelling;A;0;0;0;0;0;0;0
Individual_dwelling;B;0;0;0;0;0;0;0
Individual_dwelling;C;0;0;0;0;0;0;0
Individual_dwelling;D;0;0;0;2484073;0;0;0
Individual_dwelling;E;0;0;0;5913520;140560;0;0
Individual_dwelling;F;0;0;0;2089506;163036;6515;0
Individual_dwelling;G;0;0;96563898;7741413;1183672;225251;181609
