;;Individual_dwelling;Individual_dwelling;Individual_dwelling;Individual_dwelling;Individual_dwelling;Individual_dwelling;Individual_dwelling
;;A;B;C;D;E;F;G
Individual_dwelling;A;3867535;0;0;0;0;0;0
Individual_dwelling;B;9881423;8480917;0;0;0;0;0
Individual_dwelling;C;101358003;174824830;35257023;0;0;0;0
Individual_dwelling;D;25264569;497888853;400255320;0;0;0;0
Individual_dwelling;E;1813048;165842263;319058224;0;0;0;0
Individual_dwelling;F;638614;14993772;0;0;0;0;0
Individual_dwelling;G;89729;16908019;0;0;0;0;0
