;;Individual_dwelling;Individual_dwelling;Individual_dwelling;Individual_dwelling;Individual_dwelling;Individual_dwelling;Individual_dwelling
;;A;B;C;D;E;F;G
Individual_dwelling;A;0;0;0;0;0;0;0
Individual_dwelling;B;0;0;0;0;0;0;0
Individual_dwelling;C;0;0;310470947;0;0;0;0
Individual_dwelling;D;0;0;0;401332;0;0;0
Individual_dwelling;E;0;0;0;311380;36910;0;0
Individual_dwelling;F;0;0;0;231685;31508;19296;0
Individual_dwelling;G;0;0;0;146763;34507;30952;18138
