;;Individual_housing;Individual_housing;Individual_housing;Individual_housing;Individual_housing;Individual_housing;Individual_housing
;;A;B;C;D;E;F;G
Individual_housing;A;0;0;0;0;0;0;0
Individual_housing;B;0;0;0;0;0;0;0
Individual_housing;C;0;0;155235473,5;0;0;0;0
Individual_housing;D;0;0;276205599;401332;0;0;0
Individual_housing;E;0;0;83777869;311380;36910;0;0
Individual_housing;F;0;0;30097274;231685;31508;19296;0
Individual_housing;G;0;0;10575704;146763;34507;30952;18138
