;;Collective_housing;Collective_housing;Collective_housing;Collective_housing;Collective_housing;Collective_housing;Collective_housing
;;A;B;C;D;E;F;G
Collective_housing;A;61094534;0;0;0;0;0;0
Collective_housing;B;118445200;26324763;0;0;0;0;0
Collective_housing;C;156426761;118933640;119875589;0;0;0;0
Collective_housing;D;31701278;35441809;144353956;0;0;0;0
Collective_housing;E;2851182;3304971;65606771;0;0;0;0
Collective_housing;F;173836;333193;18895573;0;0;0;0
Collective_housing;G;11844;35047;3800095;0;0;0;0
