Model;Scenario;Region;Variable;Unit;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
AME_21;SNBC_AME_21;France;EE<50kwhEF/m2/an;Number of dwellings;995700;;;;;930800;;;;;925900;;;;;903200;;;;;849800;;;;;849000;;;;;299900
AME_21;SNBC_AME_21;France;50kwhEF<EE<149kwhEF;Number of dwellings;241100;;;;;201600;;;;;209600;;;;;216900;;;;;244600;;;;;285500;;;;;309100
AME_21;SNBC_AME_21;France;150kwhEF<EE<250kwhEF;Number of dwellings;26100;;;;;17900;;;;;20000;;;;;20900;;;;;19500;;;;;23500;;;;;27500
AME_21;SNBC_AME_21;France;EE>250kwhEF/m2/an;Number of dwellings;0;;;;;0;;;;;0;;;;;0;;;;;0;;;;;0;;;;;0
AMS;SNBC_AMS;France;Total_globale;Number of dwellings;200000;;;;;350000;;;;;500000;;;;;750000;;;;;900000;;;;;1000000;;;;;1000000
AMS;SNBC_AMS;France;Total_ch_vecteur;Number of dwellings;550000;;;;;750000;;;;;1100000;;;;;1000000;;;;;1100000;;;;;11000000;;;;;1100000
AMS;SNBC_AMS;France;Total_isolation_parois_opaques;Number of dwellings;100000;;;;;400000;;;;;600000;;;;;1000000;;;;;1400000;;;;;1500000;;;;;2100000
AMS;SNBC_AMS;France;Total_isolation_parois_vitrés;Number of dwellings;600000;600000;600000;600000;600000;600000;600000;600000;600000;600000;600000;600000;600000;600000;600000;600000;600000;600000;600000;600000;600000;;;;;400000;;;;;0
AMS;SNBC_AMS;France; LC;Number of dwellings;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMS;SNBC_AMS;France; MI;Number of dwellings;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shift Project;Shift Project;France; Total ;Number of dwellings;-;373825;498433;623042;747650;872259;948698;948698;948698;948698;948698;1074311;1074311;1074311;1074311;1074311;1063633;1063633;1063633;1063633;1061874;1122732;1122732;1122732;1113702;1113702;1058112;1058112;1058112;1058112;1058112
Shift Project;Shift Project;France;LC_globale;Number of dwellings;-;140997;187996;234995;281994;328993;376099;376099;376099;376099;376099;405828;405828;405828;405828;405828;384439;384439;384439;384439;382679;372460;372460;372460;363430;363430;350381;350381;350381;350381;350381
Shift Project;Shift Project;France;LC_ch_vecteur;Number of dwellings;-;0;0;0;0;0;0;0;0;0;0;88231;88231;88231;88231;88231;88231;88231;88231;88231;88231;93231;93231;93231;93231;93231;93231;93231;93231;93231;93231
Shift Project;Shift Project;France;MI_globale;Number of dwellings;-;232828;310438;388047;465656;543266;572599;572599;572599;572599;572599;539557;539557;539557;539557;539557;550269;550269;550269;550269;550269;608404;608404;608404;608404;608404;565864;565864;565864;565864;565864
Shift Project;Shift Project;France; MI_ch_vecteur;Number of dwellings;-;0;0;0;0;0;0;0;0;0;0;40695;40695;40695;40695;40695;40695;40695;40695;40695;40695;48637;48637;48637;48637;48637;48637;48637;48637;48637;48637
Negawatt;Negawatt_2022;France; Total_globale;Number of dwellings;50000;50000;100000;200000;30000;500000;600000;700000;750000;800000;800000;800000;800000;800000;800000;800000;800000;800000;800000;800000;800000;800000;800000;800000;800000;800000;800000;800000;800000;800000;800000
Negawatt;Negawatt_2022;France; LC;Number of dwellings;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
