;;Individual_dwelling;Individual_dwelling;Individual_dwelling;Individual_dwelling;Individual_dwelling;Individual_dwelling;Individual_dwelling
;;A;B;C;D;E;F;G
Individual_dwelling;A;3867535;0;0;0;0;0;0
Individual_dwelling;B;9881423;8480917;0;0;0;0;0
Individual_dwelling;C;34657268;174824830;35257023;0;0;0;0
Individual_dwelling;D;0;277390038;400255320;0;0;0;0
Individual_dwelling;E;0;20570841;319058224;0;0;0;0
Individual_dwelling;F;0;0;0;0;0;0;0
Individual_dwelling;G;0;0;0;0;0;0;0
