;;Individual_dwelling;Individual_dwelling;Individual_dwelling;Individual_dwelling;Individual_dwelling;Individual_dwelling;Individual_dwelling
;;A;B;C;D;E;F;G
Individual_dwelling;A;0;0;0;0;0;0;0
Individual_dwelling;B;10445303;0;0;0;0;0;0
Individual_dwelling;C;150094474;156159292;0;0;0;0;0
Individual_dwelling;D;42471076;754940235;131167837;0;0;0;0
Individual_dwelling;E;3445948;275464895;201735763;0;0;0;0
Individual_dwelling;F;1027851;38174100;0;0;0;0;0
Individual_dwelling;G;100214;26045655;0;0;0;0;0
