;;Collective_dwelling;Collective_dwelling;Collective_dwelling;Collective_dwelling;Collective_dwelling;Collective_dwelling;Collective_dwelling
;;A;B;C;D;E;F;G
Collective_dwelling;A;0;0;0;0;0;0;0
Collective_dwelling;B;0;0;0;0;0;0;0
Collective_dwelling;C;0;0;119875589;0;0;0;0
Collective_dwelling;D;0;0;0;334466;0;0;0
Collective_dwelling;E;0;0;0;306635;12876;0;0
Collective_dwelling;F;0;0;0;217720;9634;6014;0
Collective_dwelling;G;0;0;0;173189;8997;2431;1948
