ffo_bat_usage_niveau_1_txt;dpe_avant;sum_shab
Collective_dwelling;A;61094534
Collective_dwelling;B;144769963
Collective_dwelling;C;395235990
Collective_dwelling;D;211831509
Collective_dwelling;E;72082435
Collective_dwelling;F;19635970
Collective_dwelling;G;4033551
