ffo_bat_usage_niveau_1_txt;dpe_avant;sum_batiment;sum_logement;sum_shab;sum_sloc;sum_s_geom_groupe
Collective_dwelling;A;55457;1046885;61094534;86236367;26783632
Collective_dwelling;B;188882;2642440;144769963;196266866;64874624
Collective_dwelling;C;657190;6764309;395235990;521295246;178192476
Collective_dwelling;D;349585;3440792;211831509;278217693;91214477
Collective_dwelling;E;125374;1180963;72082435;96273096;31145112
Collective_dwelling;F;49317;340202;19635970;26953763;10898567
Collective_dwelling;G;15470;71409;4033551;5891607;3419260
Individual_dwelling;A;543011;682853;77128766;115146708;84748236
Individual_dwelling;B;1983630;2275388;251733936;376130113;281250751
Individual_dwelling;C;8746392;9544804;1034110419;1711342293;1131670843
Individual_dwelling;D;4595104;4919378;467857633;824355848;479720428
Individual_dwelling;E;1180114;1251407;108099929;192601830;106960777
Individual_dwelling;F;337530;360358;32838353;58805456;36096723
Individual_dwelling;G;114696;120209;10967283;20659998;19323331
