Model;Scenario;Region;Variable;Unit;Dpe;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051
CSTB;BAU_construction_Constant_HRS_normal_HDS_Constant;France;Collective_dwelling;MtCO2eq;1;0.13443403160000003;0.13443403160000003;0.13443403160000003;0.1348164708;0.1348164708;0.1348164708;0.14108907120000003;0.14108907120000003;0.14108907120000003;0.14108907120000003;0.2108318828;0.2108318828;0.2108318828;0.2108318828;0.2452756509974332;0.36843941580256667;0.48916437466402346;0.554970757;0.554970757;0.554970757;0.6082177238407199;0.6681679642121418;0.7143926921198318;0.748636812799903;0.7730107616290791;0.7896791646234693;0.8006310858023292;0.8075448545294243;0.8117382672365698;0.8141819711631418;0.8155501969999991
CSTB;BAU_construction_Constant_HRS_normal_HDS_Constant;France;Collective_dwelling;MtCO2eq;2;0.970193567;0.970193567;0.970193567;0.9724259601;0.9724259601;0.9724259601;0.9945692658;0.9945692658;0.9945692658;0.9945692658;1.0045118668685604;1.2320293861000002;1.2320293861000002;1.2320293861000002;1.2320293861000002;1.2320293861000002;1.2320293861000002;1.3778704247343994;1.6911716337838745;1.9635426200314383;1.866723556903262;1.684147824863023;1.5433725171441488;1.4390836041639319;1.364853850911441;1.314090987246707;1.2807374091110886;1.2596818407149348;1.2469109929249913;1.2394688036940675;1.2353019341000027
CSTB;BAU_construction_Constant_HRS_normal_HDS_Constant;France;Collective_dwelling;MtCO2eq;3;6.130539992224987;6.087003161413406;6.055873356500439;6.036123696419842;6.052917860669938;6.1102470777937965;6.126179633127954;6.308136666568462;6.5750470967139005;6.939283887965802;6.890438443200001;6.934008468127098;7.602620996893041;8.347953337946016;8.654662874963657;7.720454902236348;6.8035402807460175;5.9364781132930435;5.1461357581271;4.451093623216354;4.238088769200002;4.177223856000002;4.116358942800002;4.055494029600002;3.994629116400002;3.9337642032000018;3.872899290000002;3.8120343768000016;3.751169463600002;3.690304550400002;3.629439762000002
CSTB;BAU_construction_Constant_HRS_normal_HDS_Constant;France;Collective_dwelling;MtCO2eq;4;6.34491129;6.34491129;6.34491129;6.34491129;6.34491129;6.34491129;6.34491129;6.34491129;6.34491129;6.34491129;5.349353840737789;4.129782260524813;2.7269410259749245;1.1765616908730496;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;BAU_construction_Constant_HRS_normal_HDS_Constant;France;Collective_dwelling;MtCO2eq;5;3.2149789951999996;3.2149789951999996;3.2149789951999996;3.2149789951999996;3.2149789951999996;3.2149789951999996;2.89396071388895;2.196625892767494;1.255322342647262;0.03451744781103089;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;BAU_construction_Constant_HRS_normal_HDS_Constant;France;Collective_dwelling;MtCO2eq;6;1.2301249668;1.2301249668;1.2301249668;1.044082220139876;0.7284677643490954;0.24811469623802984;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;BAU_construction_Constant_HRS_normal_HDS_Constant;France;Collective_dwelling;MtCO2eq;7;0.29993106035104006;0.19662903072776933;0.01936203901661363;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;BAU_construction_Constant_HRS_normal_HDS_Constant;France;Collective_dwelling;MtCO2eq;new;0.1452761989600924;0.2905523979201848;0.4697238341203659;0.6150000330804545;0.7941714692806394;0.4361721316831951;0.5036217954860951;0.5710714592889935;0.6385211230918936;0.7217078613276919;0.789157525130592;0.840870114500592;0.908319778303492;0.9757694421063904;1.04321910590929;1.0949316952792902;1.1623813590821883;1.2298310228850882;1.2815436122550885;1.3332562016250882;1.400705865427988;1.452418454797988;1.504131044167988;1.555843633537988;1.6075562229079878;1.6592688122779875;1.7109814016479876;1.7626939910179875;1.814406580387988;1.866119169757988;1.917831759127988
CSTB;BAU_construction_Constant_HRS_normal_HDS_Constant;France;Individual_dwelling;MtCO2eq;1;0.1698470004;0.1698470004;0.1698470004;0.1725491922;0.1725491922;0.1725491922;0.2161839966;0.2161839966;0.2161839966;0.3401517576847924;0.5045457779449678;0.5746998972;0.5746998972;0.5746998972;0.7737391082105698;1.0447790261894285;1.3104519942054775;1.5606533730150554;1.7870449426061499;1.8960310600000003;1.8960310600000003;2.009507954246621;2.1112322436958597;2.1865914508057567;2.240229897973502;2.2769111620416;2.301012469944339;2.316227231458666;2.32545545079732;2.3308331794894452;2.3338441609999983
CSTB;BAU_construction_Constant_HRS_normal_HDS_Constant;France;Individual_dwelling;MtCO2eq;2;1.6871989512999999;1.6871989512999999;1.6871989512999999;1.695442102;1.695442102;1.695442102;1.7209440512915528;1.7231785476;1.7231785476;1.7231785476;1.7231785476;1.9127143719000002;1.9127143719000002;1.9127143719000002;1.9127143719000002;1.9127143719000002;1.9127143719000002;1.9127143719000002;1.9127143719000002;2.1801943850675927;2.6808489013144903;2.3914561151125637;2.0816594154262456;1.8521563755915589;1.6888029228534243;1.5770918004642192;1.5036923627604215;1.4573564981486093;1.429252375617252;1.4128747473275989;1.403704940000007
CSTB;BAU_construction_Constant_HRS_normal_HDS_Constant;France;Individual_dwelling;MtCO2eq;3;16.013780358565736;15.895041038637167;15.803605197838538;15.716265379376487;15.730293257486824;15.833524461133333;15.688209404400002;16.060499678156617;16.624945061778494;16.5245272452;16.36765494;16.667618795410924;18.116068529129592;19.733351455488418;18.637604112797774;16.558812389202235;14.518077219888431;12.587049683129607;10.824855339010934;9.272383098809781;7.949807740855812;7.662091163999998;7.505218858799998;7.348346553599997;7.191474248399998;7.0346019431999975;6.877729637999998;6.720857332799998;6.563985027599998;6.407112722399997;6.250240557599999
CSTB;BAU_construction_Constant_HRS_normal_HDS_Constant;France;Individual_dwelling;MtCO2eq;4;14.02368903;14.02368903;14.02368903;14.02368903;14.02368903;14.02368903;14.02368903;14.02368903;14.02368903;12.333219560661922;10.091482920750439;7.407636891902068;4.320479124750778;0.9086421409838081;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
