Model;Scenario;Region;Variable;Unit;Dpe_Avant;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051
CSTB;HRS_normal_HDS;France;Individual_dwelling;Surface in m2;F;32555864.0;32555864.0;32555864.0;28369291.06560975;17414151.109819047;740849.2606839463;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_HDS;France;Individual_dwelling;Surface in m2;G;9368295.0406579;6923872.90787386;2729227.7539398996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_HDS;France;Residential_dwelling;Surface in m2;A;138309560.0;138309560.0;138309560.0;139711665.0;139711665.0;139711665.0;162396849.0;162396849.0;162396849.0;218745831.31126925;325171663.97498536;357059900.0;357059900.0;357059900.0;463188526.9127286;642372019.0872704;818007440.3952277;961647331.8250251;1064552590.7300681;1114091735.0;1138294901.745782;1217125417.4812558;1284374970.825314;1334194665.2752998;1369654845.2739005;1393904693.9386678;1409837979.8848493;1419896402.721859;1425997144.5608592;1429552341.2057214;1431542889.9999986
CSTB;HRS_normal_HDS;France;Residential_dwelling;Surface in m2;B;396625749.0;396625749.0;396625749.0;398189263.0;398189263.0;398189263.0;405300495.08829147;405634002.0;405634002.0;405634002.0;407117972.3087404;469364740.0;469364740.0;469364740.0;469364740.0;469364740.0;469364740.0;491132059.19916403;537893433.6841604;618468209.7162733;678742157.9429481;608299095.5187442;541049542.1746857;491229847.7247001;455769667.72609925;431519819.0613322;415586533.1151507;405528110.2781409;399427368.4391408;395872171.79427856;393881623.00000143
CSTB;HRS_normal_HDS;France;Residential_dwelling;Surface in m2;C;1419507714.7942772;1409105397.4391394;1401248625.2781396;1394383915.1151495;1396359687.061331;1406652021.726098;1398358271.6364074;1433886945.1746845;1487178984.5187433;1504090457.254218;1490903422.0000002;1512924824.5857706;1648633943.97581;1800083640.6047716;1749504294.0872715;1556363287.9127297;1366770352.6047723;1187405627.975811;1023781480.5857716;879710046.2837267;781275417.3112701;758930450.0;744972936.0;731015422.0;717057908.0;703100394.0;689142880.0;675185366.0;661227852.0;647270338.0;633312841.0
CSTB;HRS_normal_HDS;France;Residential_dwelling;Surface in m2;D;678953344.0;678953344.0;678953344.0;678953344.0;678953344.0;678953344.0;678953344.0;678953344.0;678953344.0;622604361.6887307;514694558.71627426;384580638.4142294;234914005.0241901;69506794.3952286;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_HDS;France;Residential_dwelling;Surface in m2;E;179514563.0;179514563.0;179514563.0;179514563.0;179514563.0;179514563.0;148708713.2753012;98889018.82531548;31639465.481256984;770478.7457819395;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_HDS;France;Residential_dwelling;Surface in m2;F;51958466.0;51958466.0;51958466.0;44837464.884850696;28904178.938669134;4654330.273902083;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_HDS;France;Residential_dwelling;Surface in m2;G;12593360.205722846;9038163.560860626;2937421.7218604763;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_MDS;France;Collective_dwelling;Surface in m2;A;61106378.0;61106378.0;61106378.0;61280214.0;61280214.0;61280214.0;64131396.0;64131396.0;64131396.0;64131396.0;95832674.0;95832674.0;95832674.0;95832674.0;111488932.27156055;167472461.72843936;222347443.02910155;252259435.0;252259435.0;252259435.0;276462601.7457818;303712711.005519;324723950.96355987;340289460.36359227;351368528.01321775;358945074.8288497;363923220.8192405;367065842.9679201;368971939.6529863;370082714.16506445;370704634.9999995
CSTB;HRS_normal_MDS;France;Collective_dwelling;Surface in m2;B;144805010.0;144805010.0;144805010.0;145138203.0;145138203.0;145138203.0;148443174.0;148443174.0;148443174.0;148443174.0;149927144.30874035;183884983.0;183884983.0;183884983.0;183884983.0;183884983.0;183884983.0;205652302.19916406;252413676.68416035;293066062.69125944;278615456.2542182;251365346.99448103;230354107.03644013;214788597.63640773;203709529.98678222;196132983.1711503;191154837.18075946;188012215.03207982;186106118.34701362;184995343.83493546;184373423.00000042
CSTB;HRS_normal_MDS;France;Collective_dwelling;Surface in m2;C;394916809.83493507;394059464.34701324;393997441.0320794;394664914.1807591;397674940.1711499;403283366.98678184;406238161.6364074;419835551.0364399;438878670.9944808;464160660.2542181;462963019.00000006;467689446.31583965;512482700.80083597;562193891.9708985;583788236.7284396;525836587.2715608;468993485.97089857;415346054.8008361;366616560.31583977;323996054.3087407;312275374.0000001;310307254.0000001;308339134.0000001;306371014.0000001;304402894.0000001;302434774.0000001;300466654.0000001;298498534.0000001;296530414.0000001;294562294.0000001;292594174.0000001
CSTB;HRS_normal_MDS;France;Collective_dwelling;Surface in m2;D;211497043.0;211497043.0;211497043.0;211497043.0;211497043.0;211497043.0;211497043.0;211497043.0;211497043.0;211497043.0;178311794.69125965;137659408.68416044;90898034.19916415;39218723.029101655;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_MDS;France;Collective_dwelling;Surface in m2;E;71762924.0;71762924.0;71762924.0;71762924.0;71762924.0;71762924.0;64597337.36359264;49031827.96356014;28020588.00551924;770478.7457819395;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_MDS;France;Collective_dwelling;Surface in m2;F;19402602.0;19402602.0;19402602.0;16468173.819240946;11490027.828850087;3913481.0132181365;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_MDS;France;Collective_dwelling;Surface in m2;G;3225065.1650649467;2114290.652986767;208193.9679205767;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_MDS;France;Individual_dwelling;Surface in m2;A;77203182.0;77203182.0;77203182.0;78431451.0;78431451.0;78431451.0;98265453.0;98265453.0;98265453.0;154614435.31126925;229338989.97498536;261227226.0;261227226.0;261227226.0;351699594.64116806;474899557.35883105;595659997.3661261;709387896.8250251;812293155.7300681;861832300.0;861832300.0;913412706.4757367;959651019.8617543;993905204.9117075;1018286317.2606828;1034959619.109818;1045914759.0656087;1052830559.7539389;1057025204.9078729;1059469627.0406569;1060838254.999999
CSTB;HRS_normal_MDS;France;Individual_dwelling;Surface in m2;B;251820739.0;251820739.0;251820739.0;253051060.0;253051060.0;253051060.0;256857321.08829147;257190828.0;257190828.0;257190828.0;257190828.0;285479757.0;285479757.0;285479757.0;285479757.0;285479757.0;285479757.0;285479757.0;285479757.0;325402147.0250138;400126701.6887299;356933748.5242632;310695435.1382456;276441250.08829236;252060137.73931706;235386835.89018196;224431695.93439126;217515895.24606112;213321250.09212714;210876827.9593431;209508200.000001
CSTB;HRS_normal_MDS;France;Individual_dwelling;Surface in m2;C;1031531977.9593421;1028928079.0921261;1028074403.2460601;1027483292.9343903;1033390111.8901811;1045015092.7393162;1040707621.0000001;1069579978.1382449;1110769970.5242624;1109340527.0000002;1104292206.0000002;1128528254.2699313;1226385192.1749744;1335064770.6338735;1269832152.3588324;1141583868.6411693;1015775107.6338743;896998887.1749753;789045307.2699323;694535451.9749866;614762576.3112705;601326802.0000004;596278481.0000004;591230160.0000004;586181839.0000004;581133518.0000004;576085197.0000004;571036876.0000004;565988555.0000004;560940234.0000004;555891913.0000004
CSTB;HRS_normal_MDS;France;Individual_dwelling;Surface in m2;D;467456301.0;467456301.0;467456301.0;467456301.0;467456301.0;467456301.0;467456301.0;467456301.0;467456301.0;411107318.6887307;336382764.02501464;246921229.73006895;144015970.82502595;30288071.36612694;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_MDS;France;Individual_dwelling;Surface in m2;E;107751639.0;107751639.0;107751639.0;107751639.0;107751639.0;107751639.0;84111375.91170855;49857190.86175534;3618877.475737743;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_MDS;France;Individual_dwelling;Surface in m2;F;32555864.0;32555864.0;32555864.0;28369291.06560975;17414151.109819047;740849.2606839463;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_MDS;France;Individual_dwelling;Surface in m2;G;9368295.0406579;6923872.90787386;2729227.7539398996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_MDS;France;Residential_dwelling;Surface in m2;A;138309560.0;138309560.0;138309560.0;139711665.0;139711665.0;139711665.0;162396849.0;162396849.0;162396849.0;218745831.31126925;325171663.97498536;357059900.0;357059900.0;357059900.0;463188526.9127286;642372019.0872704;818007440.3952277;961647331.8250251;1064552590.7300681;1114091735.0;1138294901.745782;1217125417.4812558;1284374970.825314;1334194665.2752998;1369654845.2739005;1393904693.9386678;1409837979.8848493;1419896402.721859;1425997144.5608592;1429552341.2057214;1431542889.9999986
CSTB;HRS_normal_MDS;France;Residential_dwelling;Surface in m2;B;396625749.0;396625749.0;396625749.0;398189263.0;398189263.0;398189263.0;405300495.08829147;405634002.0;405634002.0;405634002.0;407117972.3087404;469364740.0;469364740.0;469364740.0;469364740.0;469364740.0;469364740.0;491132059.19916403;537893433.6841604;618468209.7162733;678742157.9429481;608299095.5187442;541049542.1746857;491229847.7247001;455769667.72609925;431519819.0613322;415586533.1151507;405528110.2781409;399427368.4391408;395872171.79427856;393881623.00000143
CSTB;HRS_normal_MDS;France;Residential_dwelling;Surface in m2;C;1426448787.7942772;1422987543.4391394;1422071844.2781396;1422148207.1151495;1431065052.061331;1448298459.726098;1446945782.6364074;1489415529.1746848;1549648641.5187433;1573501187.2542183;1567255225.0000002;1596217700.585771;1738867892.9758105;1897258662.604772;1853620389.087272;1667420455.9127302;1484768593.6047728;1312344941.9758115;1155661867.585772;1018531506.2837272;927037950.3112706;911634056.0000005;904617615.0000005;897601174.0000005;890584733.0000005;883568292.0000005;876551851.0000005;869535410.0000005;862518969.0000005;855502528.0000005;848486087.0000005
CSTB;HRS_normal_MDS;France;Residential_dwelling;Surface in m2;D;678953344.0;678953344.0;678953344.0;678953344.0;678953344.0;678953344.0;678953344.0;678953344.0;678953344.0;622604361.6887307;514694558.71627426;384580638.4142294;234914005.0241901;69506794.3952286;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_MDS;France;Residential_dwelling;Surface in m2;E;179514563.0;179514563.0;179514563.0;179514563.0;179514563.0;179514563.0;148708713.2753012;98889018.82531548;31639465.481256984;770478.7457819395;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_MDS;France;Residential_dwelling;Surface in m2;F;51958466.0;51958466.0;51958466.0;44837464.884850696;28904178.938669134;4654330.273902083;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_MDS;France;Residential_dwelling;Surface in m2;G;12593360.205722846;9038163.560860626;2937421.7218604763;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_rising_HDS;France;Collective_dwelling;Surface in m2;A;61106378.0;61106378.0;61106378.0;61106378.0;61106378.0;61280214.0;61280214.0;61280214.0;61280214.0;61280214.0;64131396.0;64131396.0;64131396.0;64131396.0;64131396.0;73913523.8991;95832674.0;95832674.0;95832674.0;95832674.0;95832674.0;96879536.1191;138067118.19910002;180313328.65910003;223352173.7091;252259435.0;252259435.0;252259435.0;281064693.0891;325825405.8991;370704634.9991
CSTB;HRS_rising_HDS;France;Collective_dwelling;Surface in m2;B;144805010.0;144805010.0;144805010.0;144805010.0;144805010.0;145138203.0;145138203.0;145138203.0;145138203.0;145138203.0;145477046.2991;148443174.0;148443174.0;148443174.0;148443174.0;148443174.0;152845491.3191;182699536.4491;183884983.0;183884983.0;183884983.0;183884983.0;183884983.0;183884983.0;183884983.0;198603054.82909998;242658551.74909997;287027528.5591;274013364.9109;229252652.1009;184373423.0009
CSTB;HRS_rising_HDS;France;Collective_dwelling;Surface in m2;C;392663805.867;389183119.0297;385866792.463;382777841.6201;380002370.6671;377150034.5111;375391215.4321;374425030.9361;374517474.8221;376001659.30109996;376088000.99999994;378645548.12909997;386895161.02909994;398321141.8690999;413279700.4190999;422186786.99999994;418285189.99999994;414383592.99999994;442326962.51909995;474181716.65909994;508283778.62909997;542084298.8809;496995119.80090004;450847312.34090006;403906870.29090005;356379940.17090005;308422846.25090003;260152272.44090003;240459581.0;236557984.0;232656395.0
CSTB;HRS_rising_HDS;France;Collective_dwelling;Surface in m2;D;211497043.0;211497043.0;211497043.0;211497043.0;211497043.0;211497043.0;211497043.0;211497043.0;211497043.0;211497043.0;211497043.0;211497043.0;211497043.0;211497043.0;211497043.0;201714915.1009;175393447.6809;145539402.5509;112508989.48089999;76752638.34089999;38748979.37089999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_rising_HDS;France;Collective_dwelling;Surface in m2;E;71762924.0;71762924.0;71762924.0;71762924.0;71762924.0;71762924.0;71762924.0;71762924.0;71762924.0;71762924.0;68572898.7009;59147626.870900005;46996416.97090001;31668839.130900007;12808683.580900006;7.450580596923828e-09;7.450580596923828e-09;7.450580596923828e-09;7.450580596923828e-09;7.450580596923828e-09;7.450580596923828e-09;7.450580596923828e-09;7.450580596923828e-09;7.450580596923828e-09;7.450580596923828e-09;7.450580596923828e-09;7.450580596923828e-09;7.450580596923828e-09;7.450580596923828e-09;7.450580596923828e-09;7.450580596923828e-09
CSTB;HRS_rising_HDS;France;Collective_dwelling;Surface in m2;F;19402602.0;19402602.0;19402602.0;19402602.0;19402602.0;18445951.4889;16303173.567899998;13367761.063899998;9373720.177899998;3987938.6988999974;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_rising_HDS;France;Collective_dwelling;Surface in m2;G;3544592.133;3123681.9703;2538411.537;1725765.3799;599639.3329;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_rising_HDS;France;Individual_dwelling;Surface in m2;A;77203182.0;77203182.0;77203182.0;77203182.0;77203182.0;77203182.0;78431451.0;78431451.0;78431451.0;78431451.0;93322908.6175;98265453.0;98265453.0;98265453.0;128122600.9875;177836993.0475;235761240.34750003;261227226.00000003;261227226.00000003;261227226.00000003;261227226.00000003;319549476.9275;410188788.6375;503157767.2775;597871054.4975;693874994.6975;790825573.3875;861832300.0;863572423.2775;962074932.8975;1060838254.9975001
CSTB;HRS_rising_HDS;France;Individual_dwelling;Surface in m2;B;251820739.0;251820739.0;251820739.0;251820739.0;251820739.0;251820739.0;253051060.0;253051060.0;253051060.0;253051060.0;253051060.0;257190828.0;257190828.0;257190828.0;257190828.0;257190828.0;257190828.0;285479757.0;285479757.0;285479757.0;285479757.0;285479757.0;285479757.0;285479757.0;285479757.0;285479757.0;285479757.0;312113467.5275;406774031.7225;308271522.1025;209508200.00250003
CSTB;HRS_rising_HDS;France;Individual_dwelling;Surface in m2;C;1025821216.0298;1016691573.5405;1007923629.9185001;999656059.9065001;992078348.3435001;985447275.2675002;977648265.1735001;974052153.6655;972785709.0875001;974581993.6875001;965430781.0000001;967034243.8475001;983718845.3775;1007393510.1575;1008984982.0;998929065.0;988873148.0;990760518.6975;1053392867.2975;1122024042.1975;1195600747.3975;1156476911.0725;1055781682.3625;952756786.7225;847987582.5024999;741927725.3024999;634921229.6125;527224875.47249997;420768270.99999994;410712353.99999994;400656445.99999994
CSTB;HRS_rising_HDS;France;Individual_dwelling;Surface in m2;D;467456301.0;467456301.0;467456301.0;467456301.0;467456301.0;467456301.0;467456301.0;467456301.0;467456301.0;467456301.0;467456301.0;467456301.0;467456301.0;467456301.0;437599153.0125;387884760.9525;329960513.6525;264262311.3025;191574045.70250002;112886953.80250001;29254331.602500007;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_rising_HDS;France;Individual_dwelling;Surface in m2;E;107751639.0;107751639.0;107751639.0;107751639.0;107751639.0;107751639.0;107751639.0;107751639.0;107751639.0;107751639.0;92860181.3825;72118489.1525;45377970.6225;11647388.842500001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_rising_HDS;France;Individual_dwelling;Surface in m2;F;32555864.0;32555864.0;32555864.0;32555864.0;32555864.0;32555864.0;28006183.8265;21546378.3345;12756905.9125;904704.3125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_rising_HDS;France;Individual_dwelling;Surface in m2;G;10071460.9702;9145186.4595;7857213.081499999;6068866.0934999995;3590660.6564999996;165816.73249999946;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_rising_HDS;France;Residential_dwelling;Surface in m2;A;138309560.0;138309560.0;138309560.0;138309560.0;138309560.0;138483396.0;139711665.0;139711665.0;139711665.0;139711665.0;157454304.6175;162396849.0;162396849.0;162396849.0;192253996.9875;251750516.94660002;331593914.3475;357059900.0;357059900.0;357059900.0;357059900.0;416429013.0466;548255906.8366001;683471095.9366;821223228.2066;946134429.6975;1043085008.3875;1114091735.0;1144637116.3666;1287900338.7966;1431542889.9966002
CSTB;HRS_rising_HDS;France;Residential_dwelling;Surface in m2;B;396625749.0;396625749.0;396625749.0;396625749.0;396625749.0;396958942.0;398189263.0;398189263.0;398189263.0;398189263.0;398528106.29910004;405634002.0;405634002.0;405634002.0;405634002.0;405634002.0;410036319.3191;468179293.4491;469364740.0;469364740.0;469364740.0;469364740.0;469364740.0;469364740.0;469364740.0;484082811.8291;528138308.74909997;599140996.0866;680787396.6334;537524174.2034;393881623.0034
CSTB;HRS_rising_HDS;France;Residential_dwelling;Surface in m2;C;1418485021.8968;1405874692.5702;1393790422.3815;1382433901.5266001;1372080719.0106;1362597309.7786002;1353039480.6056;1348477184.6016002;1347303183.9096;1350583652.9886;1341518782.0;1345679791.9766002;1370614006.4066;1405714652.0266;1422264682.4190998;1421115852.0;1407158338.0;1405144111.6975;1495719829.8165998;1596205758.8565998;1703884526.0266;1698561209.9534001;1552776802.1634;1403604099.0634;1251894452.7934;1098307665.4733999;943344075.8634;787377147.9133999;661227852.0;647270338.0;633312841.0
CSTB;HRS_rising_HDS;France;Residential_dwelling;Surface in m2;D;678953344.0;678953344.0;678953344.0;678953344.0;678953344.0;678953344.0;678953344.0;678953344.0;678953344.0;678953344.0;678953344.0;678953344.0;678953344.0;678953344.0;649096196.0125;589599676.0534;505353961.3334;409801713.8534;304083035.18340003;189639592.1434;68003310.9734;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_rising_HDS;France;Residential_dwelling;Surface in m2;E;179514563.0;179514563.0;179514563.0;179514563.0;179514563.0;179514563.0;179514563.0;179514563.0;179514563.0;179514563.0;161433080.0834;131266116.02340001;92374387.5934;43316227.97340001;12808683.580900006;7.450580596923828e-09;7.450580596923828e-09;7.450580596923828e-09;7.450580596923828e-09;7.450580596923828e-09;7.450580596923828e-09;7.450580596923828e-09;7.450580596923828e-09;7.450580596923828e-09;7.450580596923828e-09;7.450580596923828e-09;7.450580596923828e-09;7.450580596923828e-09;7.450580596923828e-09;7.450580596923828e-09;7.450580596923828e-09
