Model;Scenario;Region;Variable;Unit;Dpe_Avant;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051
CSTB;HRS_normal_HDS;France;Collective_dwelling;Surface in m2;A;61106378.0;61106378.0;61106378.0;61280214.0;61280214.0;61280214.0;64131396.0;64131396.0;64131396.0;64131396.0;95832674.0;95832674.0;95832674.0;95832674.0;111488932.27156055;167472461.72843936;222347443.02910155;252259435.0;252259435.0;252259435.0;276462601.7457818;303712711.005519;324723950.96355987;340289460.36359227;351368528.01321775;358945074.8288497;363923220.8192405;367065842.9679201;368971939.6529863;370082714.16506445;370704634.9999995
CSTB;HRS_normal_HDS;France;Collective_dwelling;Surface in m2;B;144805010.0;144805010.0;144805010.0;145138203.0;145138203.0;145138203.0;148443174.0;148443174.0;148443174.0;148443174.0;149927144.30874035;183884983.0;183884983.0;183884983.0;183884983.0;183884983.0;183884983.0;205652302.19916406;252413676.68416035;293066062.69125944;278615456.2542182;251365346.99448103;230354107.03644013;214788597.63640773;203709529.98678222;196132983.1711503;191154837.18075946;188012215.03207982;186106118.34701362;184995343.83493546;184373423.00000042
CSTB;HRS_normal_HDS;France;Collective_dwelling;Surface in m2;C;392983332.83493507;390192510.34701324;388197010.0320794;386931006.1807591;388007555.1711499;391682504.98678184;392703822.6364074;404367735.0364399;421477377.9944808;444825890.2542181;441694772.00000006;444487722.31583965;487347499.80083597;535125213.9708985;554786081.7284396;494900955.2715608;436124376.97089857;380543468.8008361;329880497.31583977;285326514.3087407;271672357.0000001;267770760.00000012;263869163.00000012;259967566.00000012;256065969.00000012;252164372.00000012;248262775.00000012;244361178.00000012;240459581.00000012;236557984.00000012;232656395.00000012
CSTB;HRS_normal_HDS;France;Collective_dwelling;Surface in m2;D;211497043.0;211497043.0;211497043.0;211497043.0;211497043.0;211497043.0;211497043.0;211497043.0;211497043.0;211497043.0;178311794.69125965;137659408.68416044;90898034.19916415;39218723.029101655;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_HDS;France;Collective_dwelling;Surface in m2;E;71762924.0;71762924.0;71762924.0;71762924.0;71762924.0;71762924.0;64597337.36359264;49031827.96356014;28020588.00551924;770478.7457819395;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_HDS;France;Collective_dwelling;Surface in m2;F;19402602.0;19402602.0;19402602.0;16468173.819240946;11490027.828850087;3913481.0132181365;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_HDS;France;Collective_dwelling;Surface in m2;G;3225065.1650649467;2114290.652986767;208193.9679205767;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_HDS;France;Individual_dwelling;Surface in m2;A;77203182.0;77203182.0;77203182.0;78431451.0;78431451.0;78431451.0;98265453.0;98265453.0;98265453.0;154614435.31126925;229338989.97498536;261227226.0;261227226.0;261227226.0;351699594.64116806;474899557.35883105;595659997.3661261;709387896.8250251;812293155.7300681;861832300.0;861832300.0;913412706.4757367;959651019.8617543;993905204.9117075;1018286317.2606828;1034959619.109818;1045914759.0656087;1052830559.7539389;1057025204.9078729;1059469627.0406569;1060838254.999999
CSTB;HRS_normal_HDS;France;Individual_dwelling;Surface in m2;B;251820739.0;251820739.0;251820739.0;253051060.0;253051060.0;253051060.0;256857321.08829147;257190828.0;257190828.0;257190828.0;257190828.0;285479757.0;285479757.0;285479757.0;285479757.0;285479757.0;285479757.0;285479757.0;285479757.0;325402147.0250138;400126701.6887299;356933748.5242632;310695435.1382456;276441250.08829236;252060137.73931706;235386835.89018196;224431695.93439126;217515895.24606112;213321250.09212714;210876827.9593431;209508200.000001
CSTB;HRS_normal_HDS;France;Individual_dwelling;Surface in m2;C;1026524381.9593421;1018912887.0921261;1013051615.2460601;1007452908.9343903;1008352131.8901811;1014969516.7393162;1005654449.0000001;1029519210.1382447;1065701606.5242624;1059264567.0000001;1049208650.0000001;1068437102.2699311;1161286444.174974;1264958426.633873;1194718212.358832;1061462332.6411688;930645975.6338738;806862159.1749748;693900983.2699318;594383531.9749861;509603060.31127;491159689.9999999;481103772.9999999;471047855.9999999;460991938.9999999;450936021.9999999;440880104.9999999;430824187.9999999;420768270.9999999;410712353.9999999;400656445.9999999
CSTB;HRS_normal_HDS;France;Individual_dwelling;Surface in m2;D;467456301.0;467456301.0;467456301.0;467456301.0;467456301.0;467456301.0;467456301.0;467456301.0;467456301.0;411107318.6887307;336382764.02501464;246921229.73006895;144015970.82502595;30288071.36612694;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_HDS;France;Individual_dwelling;Surface in m2;E;107751639.0;107751639.0;107751639.0;107751639.0;107751639.0;107751639.0;84111375.91170855;49857190.86175534;3618877.475737743;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
