Model;Scenario;Region;Variable;Unit;Programmation;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
CSTB;Sufficiency;France;Residential_dwelling;MtCO2eq;Demolition;0.19081203;0.19081203;0.19081203;0.19081203;0.19081203;0.19081203;0.19081203;0.19081203;0.19081203;0.19081203;0.19081203;0.19081203;0.19081203;0.19081203;0.19081203;0.19081203;0.19081203;0.19081203;0.19081203;0.19081203;0.19081203;0.19081203;0.19081203;0.19081203;0.19081203;0.19081203;0.19081203;0.19081203;0.19081203;0.19081203;0.19081203
CSTB;Sufficiency;France;Residential_dwelling;MtCO2eq;New_construction;5.3141428037845575;5.317303869196531;7.809467990171133;5.321611500031418;7.81642913210958;4.490932341806595;4.494658562777787;4.498374205967595;4.109958618014341;6.039797580033788;4.117086427053531;2.7759320939325;3.5197315429950486;3.5223715087234466;2.996253009948318;2.3737365399856247;3.001836622938904;2.553447010359773;2.0267248998289435;2.029741180109331;2.1768514323145007;1.7304076795695886;1.7329715178079197;1.4752050526393117;1.4773843151418902;1.4795635776444716;1.259481414124994;1.261333787252187;1.26318616037938;1.0752827534805842;1.076857270638698
CSTB;Sufficiency;France;Residential_dwelling;MtCO2eq;Renovation;0.37249956388000005;0.47151463568999996;0.6556353339550001;0.910347600785;1.2615160194;1.4329228809653887;1.7513691475902664;1.962148456279139;2.4134752603548355;3.254461015310811;5.666117820329972;4.059442473419605;3.807843960685071;4.803227430931798;6.669343407339029;9.308113366427898;11.437454374788304;7.672585715623741;5.01398858527624;5.397086844361415;4.875852404837858;6.28833319637904;7.926522468364615;6.9107165700693916;7.040377263663753;6.88194898629225;5.478494691479302;5.134331174750933;4.133922493511444;3.5267843879928256;3.5361225193079835
