Model;Scenario;Region;Variable;Unit;Saut_Classe_Dpe;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
CSTB;HRS_normal_BAU_RE2020_WLC;France;Individual_dwelling;MtCO2eq;6;0.0446496;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_BAU_RE2020_WLC;France;Individual_dwelling;MtCO2eq;sum;0.506304085769735;0.8555477464744141;1.4681258038768858;2.3705588474765276;2.738784988947675;3.4518945234537517;6.690155456623813;4.282630590299738;5.14762473242774;10.858260421264903;13.864907603619196;9.819830691480327;6.672762882123882;7.374543480537982;10.763843608760906;11.98312137371019;11.745839672584554;11.061815220806974;10.009144323185824;7.407173307564585;4.845420341475341;3.888540908063729;2.9982656336245785;2.221169811832903;1.580962753878867;1.0811594167798544;0.7103723565083033;0.44844645088390683;0.2719965217004052;0.1585054976727151;0.08874696923858928
CSTB;HRS_normal_BAU_RE2020_WLC;France;Residential_dwelling;MtCO2eq;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.3421959123824134;9.769124165589853;10.796551922879956;4.560907571466187;0.0;0.0;1.441349514539241;3.09636128346597;5.280564659735644;7.093840105896412;5.692940034722003;4.389550441657017;3.2518589477809936;2.3145766928405553;1.5828496788960225;1.0400063477639137;0.6565389985667471;0.398211031927761;0.23205678293194593;0.12992821371401847
CSTB;HRS_normal_BAU_RE2020_WLC;France;Residential_dwelling;MtCO2eq;2;0.0;0.0;0.0;0.0;0.0;0.0;0.12890740356823802;6.201341856813558;7.617865105873099;3.6066119055963917;0.2650500915451901;6.124379743289385;0.0;0.0;10.354898755383475;17.543647610305584;17.196260112582756;14.032803612511074;10.009144323185824;4.818455829380096;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_BAU_RE2020_WLC;France;Residential_dwelling;MtCO2eq;3;0.0;0.0;0.0;1.038845528787326;3.98332148654539;5.0644703659700125;2.4777536584658506;0.0690463528146597;0.0;10.455377577286287;20.076644509024604;5.16938201186761;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_BAU_RE2020_WLC;France;Residential_dwelling;MtCO2eq;4;0.6238535779970035;1.244318825701777;2.1352596436500524;1.5753275026511666;0.0;0.0;6.598336694214527;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_BAU_RE2020_WLC;France;Residential_dwelling;MtCO2eq;5;0.054832500000000006;0.0;0.0;0.6309472500000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_BAU_RE2020_WLC;France;Residential_dwelling;MtCO2eq;6;0.051755999999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_BAU_RE2020_WLC;France;Residential_dwelling;MtCO2eq;sum;0.7304420779970034;1.244318825701777;2.1352596436500524;3.2451202814384925;3.98332148654539;5.0644703659700125;9.204997756248616;6.2703882096282175;7.617865105873099;14.061989482882678;20.341694600569795;13.635957667539408;9.769124165589853;10.796551922879956;14.915806326849662;17.543647610305584;17.196260112582756;15.474153127050315;13.105505606651795;10.099020489115741;7.093840105896412;5.692940034722003;4.389550441657017;3.2518589477809936;2.3145766928405553;1.5828496788960225;1.0400063477639137;0.6565389985667471;0.398211031927761;0.23205678293194593;0.12992821371401847
CSTB;HRS_normal_Optimist_RE2020_WLC;France;Collective_dwelling;MtCO2eq;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.443287592535322;3.09636128346597;3.4220084423419754;2.2073781272460598;0.0;0.0;1.0413750242546018;2.2371210273041635;1.94485958867071;1.3808107878250908;1.108126613659013;0.8544227827329213;0.5380261707720031;0.3829510612251198;0.261885452388778;0.14626035310069296;0.0923317688985359;0.0560020487024634;0.027739831609115095;0.015531486406742815
CSTB;HRS_normal_Optimist_RE2020_WLC;France;Collective_dwelling;MtCO2eq;2;0.0;0.0;0.0;0.0;0.0;0.0;0.12890740356823802;1.987757619328479;2.470240373445358;3.203729061617776;0.2650500915451901;3.3728393835237602;0.0;0.0;1.3217901831293855;4.726447301106087;4.632857373998476;2.1465391130062126;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_Optimist_RE2020_WLC;France;Collective_dwelling;MtCO2eq;3;0.0;0.0;0.0;0.6068497951897633;1.244536497597715;1.612575842516261;1.536359719029537;0.0;0.0;0.0;6.211736905405407;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
