Model;Scenario;Region;Variable;Unit;Dpe;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051
CSTB;Optimistic;France;Collective_dwelling;MtCO2eq;1;0.13443403160000003;0.13107318081;0.12771233002;0.12435147923;0.12099062844;0.11796441195;0.11459400018;0.11122358840999999;0.10785317664;0.10448276487000001;0.10581680339999999;0.10228957662;0.09876234984;0.09523512306;0.09170789628;0.1016310953612625;0.12649912968000002;0.12122833260999999;0.11595753553999999;0.11068673847;0.1054159414;0.1012391152444595;0.136686447017109;0.16859296229625853;0.196549912864008;0.208114033875;0.19423976495;0.18036549602500002;0.18550269743880599;0.19712437056895551;0.20388754924950506
CSTB;Optimistic;France;Collective_dwelling;MtCO2eq;2;0.970193567;0.9459387278249999;0.92168388865;0.897429049475;0.8731742103000001;0.8508727150875;0.826562066085;0.8022514170825;0.77794076808;0.7536301190775;0.7310221576529776;0.7210627177050001;0.69619848606;0.6713342544149999;0.6464700227700001;0.621605791125;0.614438875102782;0.7038499641701577;0.677616162355;0.6468154277025;0.6160146930500001;0.5852139583975;0.554413223745;0.5236124890925;0.4928117544400001;0.49899017525811373;0.5690343038516396;0.6250024434374403;0.5507668634709089;0.4223980114959083;0.3088254835265075
CSTB;Optimistic;France;Collective_dwelling;MtCO2eq;3;6.1557176127252;5.978291610781738;5.80450825172166;5.635084547018043;5.470963369566084;5.306449737376515;5.157152851769646;5.017920940067607;4.891146222419809;4.7796174302502985;4.649068101599999;4.544892647780121;4.499371553357771;4.4793548032216215;4.4847380139496735;4.417943585249999;4.222804238639999;4.02920002563;4.1103607589538775;4.200251792038029;4.281317005906979;4.332040075247469;3.8010849374223175;3.2967725410601667;2.8220012826152163;2.3789045016997648;1.9690219198699137;1.593448416195363;1.3877623375199997;1.2636722412599997;1.1411172785999997
CSTB;Optimistic;France;Collective_dwelling;MtCO2eq;4;6.34491129;6.18628850775;6.0276657255;5.86904294325;5.710420161;5.55179737875;5.3931745965;5.23455181425;5.075929032;4.91730624975;4.7586834675;4.60006068525;4.441437903;4.28281512075;4.1241923385;3.7821546581418746;3.1570820582562003;2.5105546940030252;1.8563983264348498;1.2088540538691748;0.5812346905634999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;Optimistic;France;Collective_dwelling;MtCO2eq;5;3.2149789951999996;3.1346045203200004;3.05423004544;2.97385557056;2.89348109568;2.8131066208;2.73273214592;2.65235767104;2.57198319616;2.4916087212799995;2.30404939635024;1.9211149207668319;1.4738076362074242;0.9576656953184162;0.3729888658758082;2.0861625671386718e-16;2.002716064453125e-16;1.9192695617675782e-16;1.8358230590820313e-16;1.7523765563964842e-16;1.6689300537109374e-16;1.5854835510253908e-16;1.5020370483398437e-16;1.418590545654297e-16;1.33514404296875e-16;1.2516975402832032e-16;1.1682510375976562e-16;1.0848045349121094e-16;1.0013580322265625e-16;9.179115295410157e-17;8.344650268554687e-17
CSTB;Optimistic;France;Collective_dwelling;MtCO2eq;6;1.2301249668;1.19937184263;1.16861871846;1.13786559429;1.1071124701200001;1.0232891588467274;0.8785780235741308;0.6992007424472894;0.4754350874230879;0.19594736797045134;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;Optimistic;France;Collective_dwelling;MtCO2eq;7;0.32964706836900004;0.2832398626569525;0.22426865929394998;0.1484589668058975;0.05018981216373;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;Optimistic;France;Collective_dwelling;MtCO2eq;new;0.0715787991800164;0.144275577761762;0.2526197801897777;0.3275193842417978;0.4391007943622044;0.2396617380733333;0.2676907672739388;0.2940242848108701;0.3186153122274345;0.3570039681335189;0.3774258768168213;0.3892611029872508;0.4061291079880747;0.4210211865847587;0.4338909427205299;0.4387264207386794;0.4476788453713391;0.4544695360617303;0.4536975757198067;0.4511530284999165;0.4517298532452982;0.4452561701325618;0.4368949708382789;0.4266079455945893;0.4143567846336331;0.4001031781875502;0.3838088164884806;0.3654353897685644;0.3449445882599414;0.3222981021947518;0.2974576218051356
CSTB;Optimistic;France;Individual_dwelling;MtCO2eq;1;0.1698470004;0.16560082539;0.16135465038;0.15710847537;0.15286230035999998;0.14861612535;0.14666681337;0.142353083565;0.13803935375999998;0.133725623955;0.15398279921887498;0.15673339753499999;0.15132879762;0.145924197705;0.183215319412125;0.24452586544031252;0.3112048372587001;0.33045244089;0.31608494346000005;0.30171744603000006;0.28734994860000007;0.3339292033892375;0.40608690075112497;0.4704525124044625;0.5261265279578;0.5724468706254375;0.608935691508375;0.6162100945;0.56995779936315;0.5820553344029875;0.583461040248625
CSTB;Optimistic;France;Individual_dwelling;MtCO2eq;2;1.6871989512999999;1.6450189775175;1.6028390037350002;1.5606590299524998;1.5184790561700001;1.4762990823875;1.4411257867;1.3987397341499999;1.3563536816000001;1.31396762905;1.2715815765;1.24930444701;1.2062249833200003;1.1631455196299998;1.12006605594;1.07698659225;1.0339071285599999;1.0998107638424999;1.051992904545;1.0041750452475;0.9563571859500001;0.9085393266525;0.860721467355;0.8129036080575001;0.76508574876;0.7172678894625001;0.669450030165;0.6796270755411312;0.8176158037622249;0.5679902794738564;0.35092623500418757
