Model;Scenario;Region;Variable;Unit;Dpe;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051
CSTB;HRS_normal_HDS_Constant;France;Residential_dwelling;MtCO2eq;3;22.14432035079072;21.982044200050574;21.859478554338978;21.75238907579633;21.783211118156764;21.94377153892713;21.814389037527956;22.36863634472508;23.199992158492392;23.463811133165805;23.258093383200002;23.60162726353802;25.718689526022633;28.081304793434434;27.29226698776143;24.279267291438583;21.32161750063445;18.52352779642265;15.970991097138034;13.723476722026135;12.187896510055815;11.83931502;11.6215778016;11.4038405832;11.1861033648;10.9683661464;10.750628928000001;10.5328917096;10.3151544912;10.0974172728;9.8796803196
CSTB;HRS_normal_HDS_Constant;France;Residential_dwelling;MtCO2eq;4;20.36860032;20.36860032;20.36860032;20.36860032;20.36860032;20.36860032;20.36860032;20.36860032;20.36860032;18.678130850661923;15.440836761488228;11.537419152426882;7.047420150725703;2.085203831856858;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_HDS_Constant;France;Residential_dwelling;MtCO2eq;5;8.042252422399999;8.042252422399999;8.042252422399999;8.042252422399999;8.042252422399999;8.042252422399999;6.662150354733493;4.430228043374134;1.417448053560313;0.03451744781103089;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_HDS_Constant;France;Residential_dwelling;MtCO2eq;6;3.2941667444;3.2941667444;3.2941667444;2.842695273699534;1.832524944711623;0.29508453936539203;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_HDS_Constant;France;Residential_dwelling;MtCO2eq;7;1.1711824991322248;0.8405492111600383;0.27318022013302434;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_HDS_Constant;France;Residential_dwelling;MtCO2eq;sum;57.98219588702294;57.48928644831061;56.799351811571995;55.98117081699586;55.001822530368386;53.62494254579252;51.917926097153;50.242485589299214;48.0610614132527;45.37544807392355;42.14199821990176;39.0693219539649;36.69638521474833;34.09678416329129;31.456025504969432;28.83722949143058;26.26597762750395;23.929736723072104;21.91689280242806;20.318215544125167;19.239717752114288;18.592594878434348;18.072234669986088;17.630308826561148;17.253000798167445;16.926139260775997;16.63670225561818;16.373702134451634;16.12851157777613;15.894775974474253;15.668081551700007
CSTB;HRS_normal_HDS_Half;France;Collective_dwelling;MtCO2eq;1;0.13443403160000003;0.13219346440666646;0.12995289721333353;0.12807564725999998;0.1258287060799998;0.12358176490000021;0.12698016407999999;0.12462867955999979;0.12227719504000022;0.11992571052;0.17569323566666634;0.17217937095333363;0.16866550624;0.16515164152666634;0.18804466576469916;0.276329561851925;0.3587205414202831;0.39772904251666746;0.3884795299;0.3792300172833325;0.40547848256048086;0.4343091767378921;0.4524487050092257;0.46165936789327466;0.46380645697744743;0.46064617936368923;0.45369094862132103;0.4441496699911833;0.4329270758595027;0.4206606851009579;0.40777509849999954
CSTB;HRS_normal_HDS_Half;France;Collective_dwelling;MtCO2eq;2;0.970193567;0.9540236742166662;0.9378537814333339;0.923804662095;0.9075975627599995;0.8913904634250005;0.89511233922;0.8785361847900011;0.8619600303600005;0.8453838759300001;0.837093222390468;1.0061573319816672;0.9856235088800002;0.9650896857783346;0.9445558626766674;0.9240220395750001;0.9034882164733345;0.9874738043929869;1.1838201436487146;1.3417541236881516;1.2444823712688424;1.0946960861609674;0.9774692608579626;0.8874348892344254;0.8189123105468666;0.7665530758939137;0.725751198496284;0.692825012393216;0.6650191962266633;0.6403922152419355;0.6176509670500013
CSTB;HRS_normal_HDS_Half;France;Collective_dwelling;MtCO2eq;3;6.130539992224987;5.985553108723183;5.8540109112837575;5.734317511598849;5.649390003291942;5.601059821310981;5.513561669815159;5.572187388802141;5.69837415048538;5.898391304770932;5.742032036000001;5.662773582303797;6.082096797514433;6.53923011472438;6.635241537472138;5.79034117667726;4.989262872547079;4.254475981193347;3.6022950306889703;3.0415806425311755;2.825392512800001;2.7151955064000015;2.6070273304400016;2.500887984920001;2.3967774698400013;2.294695785200001;2.1946429310000037;2.0966189072400034;2.000623713920003;1.9066573510400031;1.814719881000001
CSTB;HRS_normal_HDS_Half;France;Collective_dwelling;MtCO2eq;4;6.34491129;6.2391627685;6.133414247;6.0276657255;5.921917204;5.8161686825;5.710420161;5.6046716395;5.498923118;5.3931745965;4.457794867281491;3.372655512761931;2.1815528207799395;0.921639991183889;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
