Model;Scenario;Region;Variable;Unit;Programmation;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
CSTB;BAU_construction_BAU_RE2020_upfront_HRS_normal_BAU_RE2020_WLC_HDS_Constant_WLC;France;Collective_dwelling;MtCO2eq;Demolition;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194
CSTB;BAU_construction_BAU_RE2020_upfront_HRS_normal_BAU_RE2020_WLC_HDS_Constant_WLC;France;Collective_dwelling;MtCO2eq;New_construction;6.527052081849867;6.527052081849867;8.049916669279563;6.527052081849696;8.049916669279733;5.556814610223389;5.556814610223536;5.556814610223389;5.115797577666112;6.30939414619209;5.115797577666112;3.3135836111699994;4.32196691906275;4.321966919062636;4.32196691906275;3.3135836111699994;4.321966919062636;4.32196691906275;3.3135836111699994;3.3135836111699994;4.32196691906275;3.3135836111699994;3.3135836111699994;3.3135836111699994;3.3135836111699994;3.3135836111699994;3.3135836111699994;3.3135836111699994;3.3135836111699994;3.3135836111699994;3.3135836111699994
CSTB;BAU_construction_BAU_RE2020_upfront_HRS_normal_BAU_RE2020_WLC_HDS_Constant_WLC;France;Collective_dwelling;MtCO2eq;Renovation;0.22413799222726855;0.388771079227363;0.6671338397731665;0.8745614339619652;1.244536497597715;1.612575842516261;2.514842299624802;1.987757619328479;2.470240373445358;3.203729061617776;6.4767869969505965;3.816126976059082;3.09636128346597;3.4220084423419754;4.151962718088757;5.560526236595393;5.4504204399982035;4.4123379062433425;3.09636128346597;2.6918471815511555;2.2484197644210706;1.8043991266582737;1.3912848080324376;1.030689135948091;0.7336139389616883;0.5016902621161682;0.3296339912556102;0.2080925476828403;0.1262145102273558;0.07355128525923081;0.041181244475429174
CSTB;BAU_construction_BAU_RE2020_upfront_HRS_normal_BAU_RE2020_WLC_HDS_Constant_WLC;France;Individual_dwelling;MtCO2eq;Demolition;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751
CSTB;BAU_construction_BAU_RE2020_upfront_HRS_normal_BAU_RE2020_WLC_HDS_Constant_WLC;France;Individual_dwelling;MtCO2eq;New_construction;4.258522363501857;4.258522363501857;5.252103052123604;4.258522363501745;5.252103052123714;3.526588832274883;3.526588832274976;3.526588832274883;3.160622066661535;3.898045233997987;3.160622066661535;2.117110617305;2.761385595083236;2.7613855950831634;2.761385595083236;2.117110617305;2.7613855950831634;2.761385595083236;2.117110617305;2.117110617305;2.761385595083236;2.117110617305;2.117110617305;2.117110617305;2.117110617305;2.117110617305;2.117110617305;2.117110617305;2.117110617305;2.117110617305;2.117110617305
CSTB;BAU_construction_BAU_RE2020_upfront_HRS_normal_BAU_RE2020_WLC_HDS_Constant_WLC;France;Individual_dwelling;MtCO2eq;Renovation;0.506304085769735;0.8555477464744141;1.4681258038768858;2.3705588474765276;2.738784988947675;3.4518945234537517;6.690155456623813;4.282630590299738;5.14762473242774;10.858260421264903;13.864907603619196;9.819830691480327;6.672762882123882;7.374543480537982;10.763843608760906;11.98312137371019;11.745839672584554;11.061815220806974;10.009144323185824;7.407173307564585;4.845420341475341;3.888540908063729;2.9982656336245785;2.221169811832903;1.580962753878867;1.0811594167798544;0.7103723565083033;0.44844645088390683;0.2719965217004052;0.1585054976727151;0.08874696923858928
CSTB;BAU_construction_BAU_RE2020_upfront_HRS_normal_BAU_RE2020_WLC_HDS_Constant_WLC;France;Residential_dwelling;MtCO2eq;Demolition;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945
CSTB;BAU_construction_BAU_RE2020_upfront_HRS_normal_BAU_RE2020_WLC_HDS_Constant_WLC;France;Residential_dwelling;MtCO2eq;New_construction;10.785574445351724;10.785574445351724;13.302019721403166;10.785574445351441;13.302019721403447;9.083403442498273;9.083403442498511;9.083403442498273;8.276419644327646;10.207439380190078;8.276419644327646;5.430694228475;7.083352514145986;7.083352514145799;7.083352514145986;5.430694228475;7.083352514145799;7.083352514145986;5.430694228475;5.430694228475;7.083352514145986;5.430694228475;5.430694228475;5.430694228475;5.430694228475;5.430694228475;5.430694228475;5.430694228475;5.430694228475;5.430694228475;5.430694228475
CSTB;BAU_construction_BAU_RE2020_upfront_HRS_normal_BAU_RE2020_WLC_HDS_Constant_WLC;France;Residential_dwelling;MtCO2eq;Renovation;0.7304420779970036;1.244318825701777;2.1352596436500524;3.245120281438493;3.98332148654539;5.0644703659700125;9.204997756248616;6.2703882096282175;7.617865105873099;14.06198948288268;20.34169460056979;13.635957667539408;9.769124165589853;10.796551922879956;14.915806326849662;17.543647610305584;17.196260112582756;15.474153127050316;13.105505606651795;10.099020489115741;7.093840105896412;5.692940034722003;4.389550441657017;3.2518589477809936;2.3145766928405553;1.5828496788960225;1.0400063477639137;0.6565389985667471;0.398211031927761;0.23205678293194593;0.12992821371401847
CSTB;BAU_construction_BAU_RE2020_upfront_HRS_rising_BAU_RE2020_WLC_HDS_Constant_WLC;France;Collective_dwelling;MtCO2eq;Demolition;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194
