Model;Scenario;Region;Variable;Unit;Saut_Classe_Dpe;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
CSTB;HRS_normal;France;Collective_dwelling;Surface in m2;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6694547.315839559;46761374.4849963;51679311.1700625;39218723.029101655;0.0;0.0;21767319.199164055;46761374.4849963;40652386.0070991;33955727.0545223;27250109.2597372;21011239.9580409;15565509.4000324;11079067.6496255;7576546.81563193;4978145.99039085;3142622.14867963;1906096.68506619;1110774.51207818;621920.834935053
CSTB;HRS_normal;France;Collective_dwelling;Surface in m2;2;0.0;0.0;0.0;0.0;0.0;0.0;1009433.6364073642;15565509.4000325;21011239.9580409;27250109.2597373;2254449.0545222983;33957838.69125964;0.0;0.0;15656258.271560542;55983529.4568788;54874981.3006622;29911991.970898442;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal;France;Collective_dwelling;Surface in m2;3;0.0;0.0;0.0;2427399.180759053;4978145.99039086;7576546.81563195;7218452.0132181365;0.0;0.0;0.0;31701278.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal;France;Collective_dwelling;Surface in m2;4;575029.834935053;1110774.51207818;1906096.68506619;541386.9679205767;0.0;0.0;2851182.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal;France;Collective_dwelling;Surface in m2;5;35047.0;0.0;0.0;173836.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal;France;Collective_dwelling;Surface in m2;6;11844.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal;France;Collective_dwelling;Surface in m2;sum;621920.834935053;1110774.51207818;1906096.68506619;3142622.14867963;4978145.99039086;7576546.81563195;11079067.6496255;15565509.4000325;21011239.9580409;27250109.2597373;33955727.0545223;40652386.0070992;46761374.4849963;51679311.1700625;54874981.3006622;55983529.4568788;54874981.3006622;51679311.1700625;46761374.4849963;40652386.0070991;33955727.0545223;27250109.2597372;21011239.9580409;15565509.4000324;11079067.6496255;7576546.81563193;4978145.99039085;3142622.14867963;1906096.68506619;1110774.51207818;621920.834935053
CSTB;HRS_normal;France;Individual_dwelling;Surface in m2;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29284369.26993105;102905258.905043;113727899.458899;30288071.36612694;0.0;0.0;0.0;0.0;39922390.02501379;74724554.6637161;59967859.7870069;46238313.3860176;34254185.0499532;24381112.3489753;16673301.8491351;10955139.9557907;6915800.68833013;4194645.15393396;2444422.13278404;1368627.9593421
CSTB;HRS_normal;France;Individual_dwelling;Surface in m2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33920678.13824466;46238313.3860176;3618877.475737743;0.0;28288929.0;0.0;0.0;90472368.64116806;123199962.717663;120760440.007295;113727899.458899;102905258.905043;49539144.26993191;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal;France;Individual_dwelling;Surface in m2;3;0.0;0.0;0.0;1727982.9343902506;10955139.9557907;16673301.8491351;4547110.348975401;333506.91170854494;0.0;56348982.31126925;74724554.6637161;31888236.025014654;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal;France;Individual_dwelling;Surface in m2;4;1207408.9593421;2444422.13278404;4194645.15393396;3959548.7539398996;0.0;0.0;19834002.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal;France;Individual_dwelling;Surface in m2;5;86803.0;0.0;0.0;1228269.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal;France;Individual_dwelling;Surface in m2;6;74416.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal;France;Individual_dwelling;Surface in m2;sum;1368627.9593421;2444422.13278404;4194645.15393396;6915800.68833015;10955139.9557907;16673301.8491351;24381112.3489754;34254185.04995321;46238313.3860176;59967859.787007;74724554.6637161;89461534.2949457;102905258.905043;113727899.458899;120760440.007295;123199962.717663;120760440.007295;113727899.458899;102905258.905043;89461534.2949457;74724554.6637161;59967859.7870069;46238313.3860176;34254185.0499532;24381112.3489753;16673301.8491351;10955139.9557907;6915800.68833013;4194645.15393396;2444422.13278404;1368627.9593421
CSTB;HRS_rising;France;Collective_dwelling;Surface in m2;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;31844966.519100003;35756351.14;38003658.97;38748979.37089999;0.0;0.0;0.0;14718071.82909999;44055496.92;44368976.81;44596352.53;44760712.81;44879229.1
CSTB;HRS_rising;France;Collective_dwelling;Surface in m2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6459144.129100002;12151209.9;15327577.84;18860155.55;12808683.580899999;4402317.319100004;29854045.13;1185446.5508999974;0.0;0.0;1046862.1191000119;41187582.08;42246210.46;43038845.05;28907261.290900007;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_rising;France;Collective_dwelling;Surface in m2;3;0.0;0.0;0.0;0.0;0.0;449621.5111;2142777.921;2935412.504;3994040.886;5385781.479;4326781.998;2966127.7008999977;0.0;0.0;0.0;9782127.899100002;21919150.100899998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_rising;France;Collective_dwelling;Surface in m2;4;255502.86700000003;420910.1627;585270.4333;812646.1571;1126126.047;932832.3329;0.0;0.0;0.0;0.0;2851182.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_rising;France;Collective_dwelling;Surface in m2;5;35047.0;0.0;0.0;0.0;0.0;173836.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_rising;France;Collective_dwelling;Surface in m2;6;11844.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_rising;France;Collective_dwelling;Surface in m2;sum;302393.867;420910.1627;585270.4333;812646.1571;1126126.047;1556289.844;2142777.921;2935412.504;3994040.886;5385781.479;7177963.998;9425271.83;12151209.9;15327577.84;18860155.55;22590811.48;26321467.42;29854045.13;33030413.07;35756351.14;38003658.97;39795841.49;41187582.08;42246210.46;43038845.05;43625333.12;44055496.92;44368976.81;44596352.53;44760712.81;44879229.1
CSTB;HRS_rising;France;Individual_dwelling;Surface in m2;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11943287.697499998;72688265.6;78687091.9;83632622.2;29254331.602500007;0.0;0.0;0.0;0.0;0.0;26633710.52749999;98140810.75;98502509.62;98763322.1
CSTB;HRS_rising;France;Individual_dwelling;Surface in m2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11659379.8475;26740518.53;33730581.78;11647388.842500001;0.0;0.0;28288929.0;0.0;0.0;0.0;58322250.927499995;90639311.71;92968978.64;94713287.22;96003940.2;96950578.69;71006726.61250001;0.0;0.0;0.0
CSTB;HRS_rising;France;Individual_dwelling;Surface in m2;3;0.0;0.0;0.0;0.0;0.0;0.0;2091090.173500001;6459805.492;8789472.422;11852201.6;904704.3125;4139768.0;0.0;0.0;29857147.987499997;49714392.06;57924247.3;25465985.652500004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_rising;France;Individual_dwelling;Surface in m2;4;504243.0298;926274.5107;1287973.378;1788346.988;2478205.437;3424843.924;1396137.7324999995;0.0;0.0;0.0;14891457.6175;4942544.3825;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
