ffo_bat_usage_niveau_1_txt;simu_dpe_etiquette_dpe_initial_map;sum_shab;ef_kwh_elec;ef_kwh_bois;ef_kwh_fioul;ef_kwh_gaz;ef_kwh_rcu;ef_kwh_charbon;ef_kwh_gpl;ef_kwh_calibrated;ep_kwh_elec;ep_kwh_bois;ep_kwh_fioul;ep_kwh_gaz;ep_kwh_rcu;ep_kwh_charbon;ep_kwh_gpl;ep_kwh_calibrated
Collective_dwelling;A;801953;10002341.2061342;1207227.42873598;122963.433028855;1719420.67413224;12417168.1144255;0;17630.1621066892;25486751.0185635;23005384.7741088;1207227.42873598;122963.433028855;1719420.67413224;12417168.1144255;0;17630.1621066892;38489794.586538
Collective_dwelling;B;10894225;239711338.062196;28586427.8956988;3915513.93469949;53090712.6096217;256011911.591924;6331.9057107599;3655692.96886806;584977928.968719;551336077.543052;28586427.8956988;3915513.93469949;53090712.6096217;256011911.591924;6331.9057107599;3655692.96886806;896602668.449574
Collective_dwelling;C;217464617;6065325386.35649;583538252.964226;183976604.251332;6639612054.66427;3398892502.04511;670012.096996918;581370950.523084;17453385762.9015;13950248388.6199;583538252.964226;183976604.251332;6639612054.66427;3398892502.04511;670012.096996918;581370950.523084;25338308765.1649
Collective_dwelling;D;353042339;15797332419.2255;1164663455.73314;783064190.492451;17583806902.0849;5675734652.80217;3992187.3558029;1196965088.49812;42205558896.1921;36333864564.2185;1164663455.73314;783064190.492451;17583806902.0849;5675734652.80217;3992187.3558029;1196965088.49812;62742091041.1851
Collective_dwelling;E;192757348;12603047662.5362;849517542.041373;914327641.291404;13380179567.8258;2830056331.85175;4618920.58190211;829902651.535124;31411650317.6636;28987009623.8332;849517542.041373;914327641.291404;13380179567.8258;2830056331.85175;4618920.58190211;829902651.535124;47795612278.9606
Collective_dwelling;F;60223501;5009293149.39759;282393879.188486;856649368.177821;4547021681.68269;603571195.640692;4505872.48465978;270204300.013623;11573639446.5856;11521374243.6145;282393879.188486;856649368.177821;4547021681.68269;603571195.640692;4505872.48465978;270204300.013623;18085720540.8024
Collective_dwelling;G;72344192;9205869632.12248;595121496.923526;1248136564.94278;4197014974.1761;453747597.902494;6784158.18765758;260616572.307581;15967290996.5626;21173500153.8817;595121496.923526;1248136564.94278;4197014974.1761;453747597.902494;6784158.18765758;260616572.307581;27934921518.3218
