ffo_bat_usage_niveau_1_txt;simu_dpe_etiquette_dpe_initial_map;sum_shab;ef_kwh_elec;ef_kwh_bois;ef_kwh_fioul;ef_kwh_gaz;ef_kwh_rcu;ef_kwh_charbon;ef_kwh_gpl;ef_kwh_calibrated;ep_kwh_elec;ep_kwh_bois;ep_kwh_fioul;ep_kwh_gaz;ep_kwh_rcu;ep_kwh_charbon;ep_kwh_gpl;ep_kwh_calibrated
Individual_dwelling;A;3926006;99557848.2340221;2841297.75845531;698447.306752013;2047478.06673537;238389.984001079;3115.12481818227;96367.7588742343;105482944.233658;228983050.938251;2841297.75845531;698447.306752013;2047478.06673537;238389.984001079;3115.12481818227;96367.7588742343;234908146.937887
Individual_dwelling;B;18561382;703517796.889825;67214570.9630099;7007380.94327075;20249912.818518;10269411.8824289;31614.3695659343;1228038.6187472;809518726.485366;1618090932.8466;67214570.9630099;7007380.94327075;20249912.818518;10269411.8824289;31614.3695659343;1228038.6187472;1724091862.44214
Individual_dwelling;C;313254781;12226988468.1817;5669008599.2331;1101285257.3774;6921436206.89352;182581084.858454;6696545.30873971;649785963.304862;26757782125.1577;28122073476.8178;5669008599.2331;1101285257.3774;6921436206.89352;182581084.858454;6696545.30873971;649785963.304862;42652867133.7939
Individual_dwelling;D;931117801;47880539717.5517;26415127274.2897;12127536260.1195;36371573910.5622;495807755.33646;75552138.1979707;2804691488.86503;126170828544.923;110125241350.369;26415127274.2897;12127536260.1195;36371573910.5622;495807755.33646;75552138.1979707;2804691488.86503;188415530177.74
Individual_dwelling;E;486663130;31462308637.9284;19316443270.4101;11400111286.0582;22180525796.7612;356108988.15382;70396914.633473;1602375959.11962;86388270853.0648;72363309867.2354;19316443270.4101;11400111286.0582;22180525796.7612;356108988.15382;70396914.633473;1602375959.11962;127289272082.372
Individual_dwelling;F;106333635;7005816466.00321;5188097382.65344;4828315946.51588;6704627797.97691;96427773.663448;29746568.1493836;440181649.317519;24293213584.2798;16113377871.8074;5188097382.65344;4828315946.51588;6704627797.97691;96427773.663448;29746568.1493836;440181649.317519;33400774990.084
Individual_dwelling;G;122827683;13189221136.3046;8373236544.73922;5923778558.51052;6456905833.20333;119909217.091492;37745169.6533189;443968260.125849;34544764719.6283;30335208613.5006;8373236544.73922;5923778558.51052;6456905833.20333;119909217.091492;37745169.6533189;443968260.125849;51690752196.8243
