;;Individual_dwelling;Individual_dwelling;Individual_dwelling;Individual_dwelling;Individual_dwelling;Individual_dwelling;Individual_dwelling
;;A;B;C;D;E;F;G
Individual_dwelling;A;0;0;0;0;0;0;0
Individual_dwelling;B;0;0;0;0;0;0;0
Individual_dwelling;C;66700735;0;0;0;0;0;0
Individual_dwelling;D;25264569;220498815;0;0;0;0;0
Individual_dwelling;E;1813048;145271422;0;0;0;0;0
Individual_dwelling;F;638614;14993772;0;0;0;0;0
Individual_dwelling;G;89729;16908019;0;0;0;0;0
