ffo_bat_usage_niveau_1_txt;code_departement_insee;periode_construction;sum_batiment;sum_logement;sum_logement_vacant;sum_logement_loue;sum_logement_sociaux;sum_hlm;sum_logement_proprio;sum_shab;sum_sloc
Résidentiel collectif;01;P0;6809;24197;5738;11419;904;886;6496;1623151;2450628
Résidentiel collectif;01;P1;1065;4591;1018;2094;573;573;1376;297260;443839
Résidentiel collectif;01;P2;1998;20248;2568;12830;10100;9959;4539;1338996;1750163
Résidentiel collectif;01;P3;1908;27679;4036;15471;11873;11874;7708;1828310;2415343
Résidentiel collectif;01;P4;1406;13527;1587;8384;4958;4922;3363;949001;1313910
Résidentiel collectif;01;P5;1201;13040;1535;8438;3853;3597;2950;882828;1258468
Résidentiel collectif;01;P6;1390;18308;2399;9603;7023;6982;4100;1233021;1823854
Résidentiel collectif;01;;648;7522;1015;4212;2318;2318;2220;524917;713088
Résidentiel collectif;02;P0;2089;9104;2725;5258;188;188;950;477385;678214
Résidentiel collectif;02;P1;1436;6477;1888;3699;153;153;609;363040;541270
Résidentiel collectif;02;P2;952;16207;2167;12262;10064;10064;1588;995169;1246382
Résidentiel collectif;02;P3;769;17213;1967;14119;13427;13395;817;1085167;1266507
Résidentiel collectif;02;P4;487;5694;736;4111;3021;2995;609;345073;447212
Résidentiel collectif;02;P5;403;4191;558;3272;1410;1389;323;256253;333295
Résidentiel collectif;02;P6;331;2760;387;1796;888;888;195;163628;208597
Résidentiel collectif;02;;256;3282;543;2284;1832;1826;385;207185;257758
Résidentiel collectif;03;P0;5317;19942;6380;9616;407;407;3325;1115988;1687280
Résidentiel collectif;03;P1;1523;6893;1758;3466;458;458;1472;389214;554213
Résidentiel collectif;03;P2;1271;14966;2832;9027;3858;3858;2829;923121;1205761
Résidentiel collectif;03;P3;728;12230;2088;6996;2650;2569;2714;789505;1028307
Résidentiel collectif;03;P4;218;2578;374;1727;979;973;404;164707;219476
Résidentiel collectif;03;P5;178;2936;468;2164;699;699;250;162577;212854
Résidentiel collectif;03;P6;204;1495;254;896;206;206;141;81574;113826
Résidentiel collectif;03;;301;2904;572;1579;432;432;701;186216;246957
Résidentiel collectif;04;P0;4088;13445;3189;4271;224;210;5416;757473;1113546
Résidentiel collectif;04;P1;529;1580;286;497;0;0;699;103163;151488
Résidentiel collectif;04;P2;1934;11406;1685;4515;1890;1890;4807;715106;949629
Résidentiel collectif;04;P3;2044;16741;1735;3424;1237;1101;10811;764560;1047131
Résidentiel collectif;04;P4;745;4736;675;1916;732;732;1566;270577;381193
Résidentiel collectif;04;P5;515;3652;520;1633;371;363;976;211187;306424
Résidentiel collectif;04;P6;414;2283;393;1116;424;419;602;141235;198151
Résidentiel collectif;04;;756;4608;572;1181;161;161;2305;243430;337724
Résidentiel collectif;05;2021;1;18;1;5;0;0;12;1124;1353
Résidentiel collectif;05;P0;3315;10508;1708;2959;59;59;5122;646376;949494
Résidentiel collectif;05;P1;611;2242;326;751;160;160;995;142508;212216
Résidentiel collectif;05;P2;2195;15407;1554;4316;1947;1948;8737;883992;1187254
Résidentiel collectif;05;P3;2193;19915;1289;3950;1939;1941;13536;1005382;1339758
Résidentiel collectif;05;P4;1433;9840;837;2369;817;819;5878;553810;770571
Résidentiel collectif;05;P5;865;5688;535;1793;471;471;2984;350483;505466
Résidentiel collectif;05;P6;612;3427;314;973;161;161;1676;224885;328866
Résidentiel collectif;05;;1908;16634;1121;3465;1742;1743;11301;824729;1067628
Résidentiel collectif;06;2021;3;150;20;40;2;2;88;6480;10440
Résidentiel collectif;06;P0;14003;83263;12170;27749;1282;1247;39118;4521189;6236442
Résidentiel collectif;06;P1;7485;47383;6222;17652;1213;1138;21475;2588116;3424513
Résidentiel collectif;06;P2;8904;140928;12193;48948;9514;9369;75486;8359704;11358704
Résidentiel collectif;06;P3;6294;137957;10912;45485;13345;12542;76765;7952113;11642543
Résidentiel collectif;06;P4;3744;72277;5736;27322;7948;7854;36031;4003352;6184474
Résidentiel collectif;06;P5;1834;28748;2997;14551;4083;3894;9885;1584410;2402933
Résidentiel collectif;06;P6;2116;39082;4829;16254;9109;8778;12258;2173614;3288895
Résidentiel collectif;06;;7594;92090;7707;30428;6044;5815;51134;5463558;7626997
Résidentiel collectif;07;P0;5681;18818;5372;7202;263;263;5592;1151696;1790202
Résidentiel collectif;07;P1;831;2553;617;902;38;38;961;164665;255487
Résidentiel collectif;07;P2;1528;11352;1703;6044;3855;3693;3449;759781;1003733
Résidentiel collectif;07;P3;1180;8152;1274;4258;3052;3016;2331;554661;735551
Résidentiel collectif;07;P4;1487;8047;1294;4161;1697;1699;1969;516140;711347
Résidentiel collectif;07;P5;760;3901;727;2089;586;586;978;259534;367191
Résidentiel collectif;07;P6;599;3302;407;1849;907;889;621;226754;331713
Résidentiel collectif;07;;1409;5947;1049;2465;938;938;2201;385951;543152
Résidentiel collectif;08;P0;2784;11358;3139;6291;678;678;1601;721327;1068922
Résidentiel collectif;08;P1;631;2546;539;1455;181;181;418;165460;255525
Résidentiel collectif;08;P2;1098;12826;2055;9292;8044;8018;1322;816224;1092338
Résidentiel collectif;08;P3;437;9445;1287;6969;6417;6417;944;643923;791378
Résidentiel collectif;08;P4;250;1973;276;1428;827;827;159;136257;175898
Résidentiel collectif;08;P5;155;1104;160;819;313;313;98;82067;107005
Résidentiel collectif;08;P6;189;2242;531;1397;1433;1433;53;129607;168444
Résidentiel collectif;08;;199;2160;301;1383;934;915;406;143936;192408
Résidentiel collectif;09;P0;2402;8190;1949;4000;12;12;2006;486468;696048
Résidentiel collectif;09;P1;252;846;189;371;12;12;270;50691;73787
Résidentiel collectif;09;P2;727;3683;520;2127;1038;1038;950;239910;318774
Résidentiel collectif;09;P3;528;4320;666;1640;1011;1011;1743;228652;306443
Résidentiel collectif;09;P4;249;2135;376;956;406;355;660;111267;154301
Résidentiel collectif;09;P5;249;1411;173;1064;293;293;157;87551;114456
Résidentiel collectif;09;P6;217;776;140;404;128;128;97;46632;59280
Résidentiel collectif;09;;233;1880;320;1032;352;352;430;113600;159654
Résidentiel collectif;10;P0;2731;11718;3644;5907;682;665;1951;630819;908322
Résidentiel collectif;10;P1;396;2050;413;1248;491;489;360;107348;151311
Résidentiel collectif;10;P2;896;16961;2246;11521;9304;9052;3067;1025546;1292228
Résidentiel collectif;10;P3;420;12187;1545;8728;7418;7371;1795;771417;961818
Résidentiel collectif;10;P4;319;3729;521;2703;1626;1606;485;233042;294568
Résidentiel collectif;10;P5;297;3492;416;2690;1238;1235;350;209648;250324
Résidentiel collectif;10;P6;280;4236;490;3067;2706;2692;236;235995;283481
Résidentiel collectif;10;;290;4360;667;2825;1951;1949;822;271275;343969
Résidentiel collectif;11;P0;4767;18372;5098;8897;314;309;3655;1097334;1517399
Résidentiel collectif;11;P1;401;1400;346;587;43;43;432;85778;121684
Résidentiel collectif;11;P2;1497;9956;1319;5012;3451;3451;3247;613932;755138
Résidentiel collectif;11;P3;1466;25166;2212;6442;3737;3681;15828;1075968;1445702
Résidentiel collectif;11;P4;818;7769;999;4116;1355;1329;2395;425779;553586
Résidentiel collectif;11;P5;642;5528;892;3573;442;424;853;306818;411562
Résidentiel collectif;11;P6;500;4945;822;2899;1839;1839;559;291505;396274
Résidentiel collectif;11;;486;7001;716;2872;1462;1462;2980;343749;446324
Résidentiel collectif;12;P0;5516;18401;5655;7001;600;600;5220;1102663;1706200
Résidentiel collectif;12;P1;883;2865;701;1053;75;75;1014;185943;292592
Résidentiel collectif;12;P2;1833;9988;1742;4784;2552;2552;3231;662472;955415
Résidentiel collectif;12;P3;1574;10601;1537;5369;2034;2034;3442;677153;971760
Résidentiel collectif;12;P4;700;6234;771;3597;662;662;1641;352406;539122
Résidentiel collectif;12;P5;314;2675;341;1518;293;293;696;155049;220557
Résidentiel collectif;12;P6;388;2950;335;1288;725;725;754;188866;278756
Résidentiel collectif;12;;439;2862;424;1405;521;521;904;184188;263968
Résidentiel collectif;13;P0;29922;145610;26280;74766;3967;3603;39286;7532233;9859631
Résidentiel collectif;13;P1;6028;32987;4595;16119;5508;3290;11159;1830557;2281705
Résidentiel collectif;13;P2;9260;186115;19008;96461;49623;47724;66779;11889332;14681573
Résidentiel collectif;13;P3;5674;108505;10438;59758;41124;38057;35887;7261803;8888285
Résidentiel collectif;13;P4;5201;62212;6593;35231;14579;11279;17840;3629392;5045533
Résidentiel collectif;13;P5;3551;49236;5313;29708;11535;10418;12565;2842731;4218633
Résidentiel collectif;13;P6;2994;62214;6281;30144;17796;15634;14681;3524276;5217278
Résidentiel collectif;13;;4364;65236;6763;33925;18353;17135;23103;4169532;5307724
Résidentiel collectif;14;P0;3960;20577;3543;8505;156;156;7999;933374;1240768
Résidentiel collectif;14;P1;500;2611;436;1066;131;131;1048;119686;164658
Résidentiel collectif;14;P2;3057;39662;5364;24967;14856;14733;8852;2380935;3181004
Résidentiel collectif;14;P3;1431;48583;3915;18934;12252;11879;25275;2426873;3248645
Résidentiel collectif;14;P4;953;18557;1838;10817;4570;4499;5538;927921;1259843
Résidentiel collectif;14;P5;621;10629;1054;7304;2851;2819;1913;627660;808251
Résidentiel collectif;14;P6;664;13271;1357;7924;4757;4590;1769;736219;967911
Résidentiel collectif;14;;657;11611;1128;5129;1843;1738;5237;580855;766509
Résidentiel collectif;15;P0;2840;9635;2636;3885;206;206;2813;570516;857370
Résidentiel collectif;15;P1;536;1673;466;613;9;9;555;101551;162966
Résidentiel collectif;15;P2;950;6182;910;3227;1835;1835;1929;401192;547943
Résidentiel collectif;15;P3;689;6199;786;2632;1221;1221;2461;386247;519908
Résidentiel collectif;15;P4;281;1886;231;1265;897;897;344;111992;144942
Résidentiel collectif;15;P5;102;688;70;422;172;172;135;43434;58872
Résidentiel collectif;15;P6;142;853;89;464;286;286;184;51861;76643
Résidentiel collectif;15;;291;1494;211;470;190;190;705;84203;123682
Résidentiel collectif;16;P0;1823;7004;1732;4451;171;168;687;353162;474301
Résidentiel collectif;16;P1;118;413;100;241;34;29;68;23513;33145
Résidentiel collectif;16;P2;527;7311;880;5753;4948;4942;613;486634;590068
Résidentiel collectif;16;P3;378;6421;758;5006;4199;4165;561;409963;493703
Résidentiel collectif;16;P4;310;3649;506;2717;1454;1452;252;198696;246232
