ffo_bat_usage_niveau_1_txt;ffo_bat_mat_mur_txt;code_departement_insee;periode_construction;sum_batiment;sum_logement;sum_logement_vacant;sum_logement_loue;sum_logement_sociaux;sum_hlm;sum_logement_proprio;sum_shab;sum_sloc
Résidentiel collectif;agglo;47;P2;110;1281;200;957;762;762;119;83131;108419
Résidentiel collectif;agglo;47;P3;31;493;55;355;353;353;73;37965;52317
Résidentiel collectif;agglo;47;P4;22;262;29;205;94;94;27;16203;20833
Résidentiel collectif;agglo;47;P5;4;197;11;176;133;133;1;12813;17209
Résidentiel collectif;agglo;47;P6;3;78;5;51;45;45;0;4728;5480
Résidentiel collectif;agglo;48;P0;31;118;24;47;0;0;42;6892;9753
Résidentiel collectif;agglo;48;P1;17;86;18;31;0;0;30;5627;7962
Résidentiel collectif;agglo;48;P2;93;748;90;455;446;329;134;46582;59445
Résidentiel collectif;agglo;48;P3;226;1353;231;599;334;334;404;85308;114417
Résidentiel collectif;agglo;48;P4;18;114;8;82;65;63;13;7481;9879
Résidentiel collectif;agglo;48;P5;3;11;3;7;6;6;1;842;1106
Résidentiel collectif;agglo;48;P6;4;22;2;18;18;18;2;1631;2209
Résidentiel collectif;agglo;49;P0;296;1364;185;933;45;12;233;65015;88354
Résidentiel collectif;agglo;49;P1;82;283;32;164;0;0;77;13025;17622
Résidentiel collectif;agglo;49;P2;542;9268;892;7232;6356;5964;1102;586085;736094
Résidentiel collectif;agglo;49;P3;266;6495;611;4990;3163;2932;860;398337;501801
Résidentiel collectif;agglo;49;P4;97;2087;135;1696;440;413;203;103793;135843
Résidentiel collectif;agglo;49;P5;47;1327;131;1053;293;193;138;63855;84756
Résidentiel collectif;agglo;49;P6;32;700;36;572;548;526;82;41330;52038
Résidentiel collectif;agglo;50;P0;142;602;133;305;18;18;150;29460;38616
Résidentiel collectif;agglo;50;P1;46;148;28;44;0;0;63;7457;10350
Résidentiel collectif;agglo;50;P2;447;5194;580;4220;3895;3895;327;323071;409702
Résidentiel collectif;agglo;50;P3;166;2994;260;2239;1909;1907;430;185948;226953
Résidentiel collectif;agglo;50;P4;67;812;85;602;243;243;113;43056;53037
Résidentiel collectif;agglo;50;P5;9;209;36;144;6;6;29;11938;14439
Résidentiel collectif;agglo;50;P6;5;27;0;12;0;0;8;2071;2829
Résidentiel collectif;agglo;51;P0;253;1182;323;662;19;19;179;52536;74204
Résidentiel collectif;agglo;51;P1;126;612;162;351;27;27;91;32676;44353
Résidentiel collectif;agglo;51;P2;126;3511;380;2797;2764;2764;309;226452;270667
Résidentiel collectif;agglo;51;P3;99;3310;368;2660;2574;2574;272;220213;272660
Résidentiel collectif;agglo;51;P4;40;850;46;756;668;668;48;66185;85182
Résidentiel collectif;agglo;51;P5;14;495;13;404;346;346;4;42946;51002
Résidentiel collectif;agglo;51;P6;11;332;23;282;285;285;6;23400;34692
Résidentiel collectif;agglo;52;P0;31;114;37;61;0;0;14;6378;9469
Résidentiel collectif;agglo;52;P1;18;55;12;32;0;0;11;3645;4807
Résidentiel collectif;agglo;52;P2;123;1475;300;1020;1047;1047;111;96034;124520
Résidentiel collectif;agglo;52;P3;80;1378;218;974;1007;1007;112;86316;105485
Résidentiel collectif;agglo;52;P4;15;127;15;108;91;91;4;9565;11511
Résidentiel collectif;agglo;52;P5;6;184;14;161;157;157;9;13500;15713
Résidentiel collectif;agglo;52;P6;4;46;3;41;39;39;2;3462;3958
Résidentiel collectif;agglo;53;P0;85;297;76;172;6;6;42;15510;22167
Résidentiel collectif;agglo;53;P1;6;16;6;5;0;0;5;1011;1456
Résidentiel collectif;agglo;53;P2;174;4075;567;2872;2678;2678;620;264064;330534
Résidentiel collectif;agglo;53;P3;115;2317;199;1840;1505;1505;158;137762;174417
Résidentiel collectif;agglo;53;P4;46;1141;226;758;420;420;151;60130;75435
