ffo_bat_usage_niveau_1_txt;ffo_bat_mat_mur_txt;code_departement_insee;periode_construction;sum_batiment;sum_logement;sum_logement_vacant;sum_logement_loue;sum_logement_sociaux;sum_hlm;sum_logement_proprio;sum_shab;sum_sloc
Résidentiel collectif;agglo;16;P6;2;28;2;13;15;15;0;2166;3183
Résidentiel collectif;agglo;17;P0;190;760;122;409;29;14;182;39308;50366
Résidentiel collectif;agglo;17;P1;65;258;29;109;3;0;109;10648;13801
Résidentiel collectif;agglo;17;P2;529;3910;394;2000;1221;978;1394;240257;298361
Résidentiel collectif;agglo;17;P3;359;4097;384;1604;740;667;1900;203246;267394
Résidentiel collectif;agglo;17;P4;194;3885;427;2055;680;534;1069;172906;239570
Résidentiel collectif;agglo;17;P5;42;631;92;462;69;40;67;33310;42039
Résidentiel collectif;agglo;17;P6;18;456;57;361;265;265;36;20346;25255
Résidentiel collectif;agglo;18;P0;76;284;74;158;5;5;46;14827;21404
Résidentiel collectif;agglo;18;P1;20;83;18;58;22;22;7;4600;6259
Résidentiel collectif;agglo;18;P2;54;988;231;639;440;440;111;57224;71928
Résidentiel collectif;agglo;18;P3;78;1340;270;857;678;661;193;85388;106573
Résidentiel collectif;agglo;18;P4;9;167;20;147;80;80;0;10371;12142
Résidentiel collectif;agglo;18;P5;4;75;6;68;50;50;1;5076;6220
Résidentiel collectif;agglo;18;P6;5;246;18;201;81;81;25;15191;18844
Résidentiel collectif;agglo;19;P0;73;250;97;103;9;9;45;13878;19434
Résidentiel collectif;agglo;19;P1;61;169;43;85;0;0;41;8408;13504
Résidentiel collectif;agglo;19;P2;158;900;183;503;90;90;183;55682;77680
Résidentiel collectif;agglo;19;P3;203;1621;415;889;692;692;237;100691;132414
Résidentiel collectif;agglo;19;P4;68;1088;174;748;423;423;122;63060;79607
Résidentiel collectif;agglo;19;P5;13;226;21;179;59;59;18;14382;18191
Résidentiel collectif;agglo;21;P0;148;641;118;305;10;10;190;35379;53582
Résidentiel collectif;agglo;21;P1;85;360;60;145;25;25;148;20179;29276
Résidentiel collectif;agglo;21;P2;175;2800;311;1208;432;376;1227;176063;233535
Résidentiel collectif;agglo;21;P3;185;3846;332;2204;1213;1213;1274;239973;301189
Résidentiel collectif;agglo;21;P4;31;406;32;299;247;247;73;25429;29914
Résidentiel collectif;agglo;21;P5;9;226;23;172;113;113;29;17021;21833
