ffo_bat_usage_niveau_1_txt;periode_construction;sum_batiment;sum_logement;sum_logement_vacant;sum_logement_loue;sum_logement_sociaux;sum_hlm;sum_logement_proprio;sum_shab;sum_sloc;;nbre_logement_par_bat
Résidentiel collectif;2021;16;254;24;63;2;2;110;12304;17638;;
Résidentiel collectif;P0;604174;3213721;601694;1575112;96909;87764;932764;176065028;246333919;;5,319197781
Résidentiel collectif;P1;139774;893198;136179;472472;146228;135178;258812;48473094;65408728;;6,390301487
Résidentiel collectif;P2;236169;3518190;385488;2020118;1319195;1256438;1049054;221826080;284508981;;14,89691704
Résidentiel collectif;P3;166033;3316199;323912;1754413;1144058;1089324;1153543;199327796;260506728;;19,97313185
Résidentiel collectif;P4;127428;1894183;191130;1098020;492220;454965;544649;108792472;147787084;;14,86473146
Résidentiel collectif;P5;81844;1154639;121256;746253;282084;262518;249018;67277573;92016053;;14,10780265
Résidentiel collectif;P6;83889;1443964;157338;794351;460780;430248;286181;82843735;113894247;;17,2127931
Résidentiel individuel;2021;20;24;5;4;0;0;7;2308;3502;;
Résidentiel individuel;P0;5062573;5450165;681758;779577;24502;24070;3845891;559586118;986529925;;1,076560279
Résidentiel individuel;P1;1367386;1460661;124716;238954;62529;62302;1070714;139200726;237969682;;1,068214096
Résidentiel individuel;P2;2360787;2523785;182664;343439;67602;66774;1954696;236343515;417015227;;1,069043925
Résidentiel individuel;P3;4291554;4673853;177860;489611;183803;180396;3952430;484214319;810673969;;1,089081717
Résidentiel individuel;P4;2138175;2423370;76684;419997;168260;163275;1891764;268845646;418858260;;1,133382441
Résidentiel individuel;P5;1098434;1256116;45532;267762;82249;79987;924828;139756823;205212959;;1,143551638
Résidentiel individuel;P6;1009062;1159526;45752;204189;74334;69882;761924;125478188;176364385;;1,14911274
