Model;Scenario;Region;Variable;Unit;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
CSTB;RE2020;France;Collective_dwelling;kgCO2eq/m2;795;795;795;795;795;677;677;677;623;623;623;527;527;527;527;527;527;527;527;527;527;527;527;527;527;527;527;527;527;527;527
CSTB;RE2020;France;Individual_dwelling;kgCO2eq/m2;632;632;632;632;632;523;523;523;469;469;469;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410
CSTB;RE2020plus;France;Collective_dwelling;kgCO2eq/m2;795;795;795;795;795;677;677;677;623;623;623;527;527;527;448;448;448;381;381;381;323;323;323;275;275;275;234;234;234;199;199
CSTB;RE2020plus;France;Individual_dwelling;kgCO2eq/m2;632;632;632;632;632;523;523;523;469;469;469;410;410;410;348;348;348;296;296;296;252;252;252;214;214;214;182;182;182;155;155
