Model;Scenario;Region;Variable;Unit;saut_classe_dpe;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
CSTB;BAU_RE2020_WLC;France;Individual_dwelling;kgCO2eq/m2;1;100;100;100;100;100;82.8125;82.8125;82.8125;74.21875;74.21875;74.21875;64.84375;64.84375;64.84375;64.84375;64.84375;64.84375;64.84375;64.84375;64.84375;64.84375;64.84375;64.84375;64.84375;64.84375;64.84375;64.84375;64.84375;64.84375;64.84375;64.84375
CSTB;BAU_RE2020_WLC;France;Individual_dwelling;kgCO2eq/m2;2;150;150;150;150;150;124.21875;124.21875;124.21875;111.328125;111.328125;111.328125;97.265625;97.265625;97.265625;97.265625;97.265625;97.265625;97.265625;97.265625;97.265625;97.265625;97.265625;97.265625;97.265625;97.265625;97.265625;97.265625;97.265625;97.265625;97.265625;97.265625
CSTB;BAU_RE2020_WLC;France;Individual_dwelling;kgCO2eq/m2;3;250;250;250;250;250;207.03125;207.03125;207.03125;185.546875;185.546875;185.546875;162.109375;162.109375;162.109375;162.109375;162.109375;162.109375;162.109375;162.109375;162.109375;162.109375;162.109375;162.109375;162.109375;162.109375;162.109375;162.109375;162.109375;162.109375;162.109375;162.109375
CSTB;BAU_RE2020_WLC;France;Individual_dwelling;kgCO2eq/m2;4;350;350;350;350;350;289.84375;289.84375;289.84375;259.765625;259.765625;259.765625;226.953125;226.953125;226.953125;226.953125;226.953125;226.953125;226.953125;226.953125;226.953125;226.953125;226.953125;226.953125;226.953125;226.953125;226.953125;226.953125;226.953125;226.953125;226.953125;226.953125
CSTB;BAU_RE2020_WLC;France;Individual_dwelling;kgCO2eq/m2;5;450;450;450;450;450;372.65625;372.65625;372.65625;333.984375;333.984375;333.984375;291.796875;291.796875;291.796875;291.796875;291.796875;291.796875;291.796875;291.796875;291.796875;291.796875;291.796875;291.796875;291.796875;291.796875;291.796875;291.796875;291.796875;291.796875;291.796875;291.796875
CSTB;BAU_RE2020_WLC;France;Individual_dwelling;kgCO2eq/m2;6;600;600;600;600;600;496.875;496.875;496.875;445.3125;445.3125;445.3125;389.0625;389.0625;389.0625;389.0625;389.0625;389.0625;389.0625;389.0625;389.0625;389.0625;389.0625;389.0625;389.0625;389.0625;389.0625;389.0625;389.0625;389.0625;389.0625;389.0625
CSTB;BAU_RE2020_WLC;France;Collective_dwelling;kgCO2eq/m2;1;100;100;100;100;100;85.1351351351351;85.1351351351351;85.1351351351351;78.3783783783784;78.3783783783784;78.3783783783784;66.2162162162162;66.2162162162162;66.2162162162162;66.2162162162162;66.2162162162162;66.2162162162162;66.2162162162162;66.2162162162162;66.2162162162162;66.2162162162162;66.2162162162162;66.2162162162162;66.2162162162162;66.2162162162162;66.2162162162162;66.2162162162162;66.2162162162162;66.2162162162162;66.2162162162162;66.2162162162162
CSTB;BAU_RE2020_WLC;France;Collective_dwelling;kgCO2eq/m2;2;150;150;150;150;150;127.702702702703;127.702702702703;127.702702702703;117.567567567568;117.567567567568;117.567567567568;99.3243243243243;99.3243243243243;99.3243243243243;99.3243243243243;99.3243243243243;99.3243243243243;99.3243243243243;99.3243243243243;99.3243243243243;99.3243243243243;99.3243243243243;99.3243243243243;99.3243243243243;99.3243243243243;99.3243243243243;99.3243243243243;99.3243243243243;99.3243243243243;99.3243243243243;99.3243243243243
CSTB;BAU_RE2020_WLC;France;Collective_dwelling;kgCO2eq/m2;3;250;250;250;250;250;212.837837837838;212.837837837838;212.837837837838;195.945945945946;195.945945945946;195.945945945946;165.540540540541;165.540540540541;165.540540540541;165.540540540541;165.540540540541;165.540540540541;165.540540540541;165.540540540541;165.540540540541;165.540540540541;165.540540540541;165.540540540541;165.540540540541;165.540540540541;165.540540540541;165.540540540541;165.540540540541;165.540540540541;165.540540540541;165.540540540541
CSTB;BAU_RE2020_WLC;France;Collective_dwelling;kgCO2eq/m2;4;350;350;350;350;350;297.972972972973;297.972972972973;297.972972972973;274.324324324324;274.324324324324;274.324324324324;231.756756756757;231.756756756757;231.756756756757;231.756756756757;231.756756756757;231.756756756757;231.756756756757;231.756756756757;231.756756756757;231.756756756757;231.756756756757;231.756756756757;231.756756756757;231.756756756757;231.756756756757;231.756756756757;231.756756756757;231.756756756757;231.756756756757;231.756756756757
