Model;Scenario;Region;Variable;Unit;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
ADEME;ADEME_S1;France;Total;m2 / an;6709050;6635217,111;6562865,111;6491994;6422603,778;6354694,444;6288266;6223318,444;6159851,778;6097866;3551388,889;3516668,889;3482820;3449842,222;3417735,556;3386500;3356135,556;3326642,222;3298020;3270268,889;129735,5556;128695,2;127689,6889;126719,0222;125783,2;124882,2222;124016,0889;123184,8;122388,3556;121626,7556;120900
ADEME;ADEME_S1;France;LC;m2 / an;2761650;2806870;2852090;2897310;2942530;2987750;3032970;3078190;3123410;3168630;1890500;1917100;1943700;1970300;1996900;2023500;2050100;2076700;2103300;2129900;86260;87324;88388;89452;90516;91580;92644;93708;94772;95836;96900
ADEME;ADEME_S1;France;MI;m2 / an;3947400;3828347,111;3710775,111;3594684;3480073,778;3366944,444;3255296;3145128,444;3036441,778;2929236;1660888,889;1599568,889;1539120;1479542,222;1420835,556;1363000;1306035,556;1249942,222;1194720;1140368,889;43475,55556;41371,2;39301,68889;37267,02222;35267,2;33302,22222;31372,08889;29476,8;27616,35556;25790,75556;24000
ADEME;ADEME_S2;France;Total;m2 / an;7893000;7834182,222;7775862,222;7718040;7660715,556;7603888,889;7547560;7491728,889;7436395,556;7381560;7327222,222;7273382,222;7220040;7167195,556;7114848,889;7063000;7011648,889;6960795,556;6910440;6860582,222;4699743,333;4666028,4;4632656,933;4599628,933;4566944,4;4534603,333;4502605,733;4470951,6;4439640,933;4408673,733;4378050
ADEME;ADEME_S2;France;LC;m2 / an;3249000;3302200;3355400;3408600;3461800;3515000;3568200;3621400;3674600;3727800;3781000;3834200;3887400;3940600;3993800;4047000;4100200;4153400;4206600;4259800;2975970;3012678;3049386;3086094;3122802;3159510;3196218;3232926;3269634;3306342;3343050
ADEME;ADEME_S2;France;MI;m2 / an;4644000;4531982,222;4420462,222;4309440;4198915,556;4088888,889;3979360;3870328,889;3761795,556;3653760;3546222,222;3439182,222;3332640;3226595,556;3121048,889;3016000;2911448,889;2807395,556;2703840;2600782,222;1723773,333;1653350,4;1583270,933;1513534,933;1444142,4;1375093,333;1306387,733;1238025,6;1170006,933;1102331,733;1035000
ADEME;ADEME_S3;France;Total;m2 / an;27625500;27518400;27411300;27304200;27197100;27090000;26982900;26875800;26768700;26661600;26554500;26447400;26340300;26233200;26126100;26019000;25911900;25804800;25697700;25590600;18202500;18126000;18049500;17973000;17896500;17820000;17743500;17667000;17590500;17514000;17437500
ADEME;ADEME_S3;France;LC;m2 / an;11371500;11491200;11610900;11730600;11850300;11970000;12089700;12209400;12329100;12448800;12568500;12688200;12807900;12927600;13047300;13167000;13286700;13406400;13526100;13645800;9832500;9918000;10003500;10089000;10174500;10260000;10345500;10431000;10516500;10602000;10687500
ADEME;ADEME_S3;France;MI;m2 / an;16254000;16027200;15800400;15573600;15346800;15120000;14893200;14666400;14439600;14212800;13986000;13759200;13532400;13305600;13078800;12852000;12625200;12398400;12171600;11944800;8370000;8208000;8046000;7884000;7722000;7560000;7398000;7236000;7074000;6912000;6750000
ADEME;ADEME_S4;France;Total;m2 / an;21705750;21705750;21705750;21705750;21705750;21705750;21705750;21705750;21705750;21705750;21705750;21705750;21705750;21705750;21705750;21705750;21705750;21705750;21705750;21705750;13812750;13812750;13812750;13812750;13812750;13812750;13812750;13812750;13812750;13812750;13812750
ADEME;ADEME_S4;France;LC;m2 / an;8934750;8934750;8934750;8934750;8934750;8934750;8934750;8934750;8934750;8934750;8934750;8934750;8934750;8934750;8934750;8934750;8934750;8934750;8934750;8934750;5685750;5685750;5685750;5685750;5685750;5685750;5685750;5685750;5685750;5685750;5685750
ADEME;ADEME_S4;France;MI;m2 / an;12771000;12771000;12771000;12771000;12771000;12771000;12771000;12771000;12771000;12771000;12771000;12771000;12771000;12771000;12771000;12771000;12771000;12771000;12771000;12771000;8127000;8127000;8127000;8127000;8127000;8127000;8127000;8127000;8127000;8127000;8127000
