;;Collective_dwelling;Collective_dwelling;Collective_dwelling;Collective_dwelling;Collective_dwelling;Collective_dwelling;Collective_dwelling
;;A;B;C;D;E;F;G
Collective_dwelling;A;0;0;0;0;0;0;0
Collective_dwelling;B;7346282;0;0;0;0;0;0
Collective_dwelling;C;90117105;102936820;0;0;0;0;0
Collective_dwelling;D;35669567;244277379;72315859;0;0;0;0
Collective_dwelling;E;7611971;102545138;80909564;0;0;0;0
Collective_dwelling;F;1655112;26467971;0;0;0;0;0
Collective_dwelling;G;172148;17654378;0;0;0;0;0
