;;Collective_dwelling;Collective_dwelling;Collective_dwelling;Collective_dwelling;Collective_dwelling;Collective_dwelling;Collective_dwelling;Individual_dwelling;Individual_dwelling;Individual_dwelling;Individual_dwelling;Individual_dwelling;Individual_dwelling;Individual_dwelling
;;A;B;C;D;E;F;G;A;B;C;D;E;F;G
Collective_dwelling;A;1046885;0;0;0;0;0;0;0;0;0;0;0;0;0
Collective_dwelling;B;2196536;445904;0;0;0;0;0;0;0;0;0;0;0;0
Collective_dwelling;C;2878425;1864072;2021812;0;0;0;0;0;0;0;0;0;0;0
Collective_dwelling;D;549720;528624;2352894;9554;0;0;0;0;0;0;0;0;0;0
Collective_dwelling;E;50333;49299;1072855;8209;267;0;0;0;0;0;0;0;0;0
Collective_dwelling;F;3129;4590;326304;5948;147;84;;0;0;0;0;0;0;0
Collective_dwelling;G;231;585;65670;4646;147;51;79;0;0;0;0;0;0;0
Individual_dwelling;A;0;0;0;0;0;0;0;623064;0;0;0;0;0;0
Individual_dwelling;B;0;0;0;0;0;0;0;1813454;293568;0;0;0;0;0
Individual_dwelling;C;0;0;0;0;0;0;0;5576995;1034406;2932405;0;0;0;0
Individual_dwelling;D;0;0;0;0;0;0;0;1750865;259305;2902154;6859;0;0;0
Individual_dwelling;E;0;0;0;0;0;0;0;245898;40757;958213;5951;487;0;0
Individual_dwelling;F;0;0;0;0;0;0;0;16511;11186;327123;4798;462;244;0
Individual_dwelling;G;0;0;0;0;0;0;0;776;1066;114525;2369;562;456;455
