Model;Scenario;Region;Variable;Unit;Dpe;Ef_Nrj;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
CSTB;AMB_construction_Half;France;Individual_dwelling;MtCO2eq;new;elec;0.0036987270672317702;0.006684346362367865;0.01151322588394803;0.014425800664598087;0.01878880084397017;0.02136851607255365;0.023798232306871826;0.02608106226483182;0.028220112304429033;0.03153145439381944;0.0333717916022847;0.034500111817210785;0.03608434993088529;0.03754024451750583;0.03887086377559495;0.03960419605045158;0.040701909064574826;0.04168346568927992;0.042146949503256245;0.04252965236325929;0.0431957580725205;0.04341687986000941;0.04356362674385786;0.04363813407417694;0.04364253720107772;0.04357897147467096;0.04344957224506775;0.04325647486237906;0.04300181467671599;0.04268772703818925;0.04231634729690995
CSTB;AMB_construction_Half;France;Residential_dwelling;MtCO2eq;new;bois;0.00108394154386801;0.00214348991524008;0.0037416396388491703;0.00475210324587712;0.0062748990696574;0.007236469998361085;0.008173859049194255;0.009087104639360277;0.0099762451860627;0.011312366854894547;0.012153066125424867;0.012756230829911534;0.01354933537480589;0.014318526962259635;0.015063844009476399;0.0155982159981764;0.01629618803158519;0.01697039117206946;0.01745316862392946;0.017918747896842793;0.018522375657476275;0.018953558572496275;0.019367543308569605;0.01976432986569627;0.02014391824387627;0.020506308443109602;0.02085150046339627;0.021179494304736268;0.021490289967129598;0.021783887450576266;0.022060286755076264
CSTB;AMB_construction_Half;France;Residential_dwelling;MtCO2eq;new;elec;0.010718879761961835;0.01961528406676283;0.034349192204591025;0.043487994868938805;0.05755252983933553;0.0661366449281703;0.07447965750427767;0.08258058931509285;0.0904384648543778;0.10291869052560149;0.11021164578057815;0.11498172699733429;0.12182037419231821;0.1284111287795236;0.1347530317306677;0.13870468984134235;0.14458428195379833;0.15021206037484686;0.1535488556285518;0.15670214548739564;0.16164502859051105;0.16439350878654257;0.16695571733870512;0.16933073216399672;0.1715176311794153;0.17351549230195742;0.17532339344862122;0.17694041253640408;0.17836562748230417;0.17959811620331795;0.18063695661644338
CSTB;AMB_construction_Half;France;Residential_dwelling;MtCO2eq;new;rcu;0.003941210505242909;0.0077530365808829655;0.013696548458334687;0.017437094064915223;0.0232664124739988;0.026880377004784472;0.030442641090831033;0.03395081222586502;0.03740250322330096;0.04293235483783325;0.04623150812989103;0.04844413989468673;0.051630562148289025;0.05474864812672038;0.05779604256152813;0.05976603949449353;0.06268246184429913;0.06552112790590454;0.06729311995212273;0.06900628431754503;0.07163369554091506;0.07320713436787053;0.07471638723370688;0.07615966804498318;0.07753519070825825;0.07884116913009112;0.08007581721704086;0.08123734887566636;0.08232397801252647;0.08333391853418026;0.08426538434718679
CSTB;AMB_construction_SNBC;France;Collective_dwelling;MtCO2eq;new;elec;0.007020152694730065;0.012930937704394968;0.022528816900341777;0.028269748143632503;0.03715634418947682;0.04225828496336389;0.047079234984153326;0.05161118384526938;0.05584613935261383;0.06290744009909928;0.06641666180631904;0.06816577841488361;0.07107985383931582;0.07365724812665815;0.07589007835766781;0.07648516239226044;0.07806157005479507;0.07926972339156553;0.07894440695251873;0.07833685107120897;0.07850937237595912;0.07726177819307883;0.07571359996925489;0.0738587228382611;0.07169103193386986;0.069204412389855;0.06639274933998895;0.06324992791804555;0.059769833257797146;0.05594635049301765;0.05177336475747982
CSTB;AMB_construction_SNBC;France;Collective_dwelling;MtCO2eq;new;rcu;0.003941210505242909;0.0077530365808829655;0.013517117692505038;0.016974162364076777;0.022327409279981038;0.025414174622705375;0.028338311061510846;0.031095136431165894;0.033679979205816085;0.037978621587313896;0.040142480229856635;0.04124946565290177;0.04306871013374862;0.044692773980996366;0.04611704950505348;0.04655459918518439;0.04759844696198113;0.0484286597565381;0.048332075103734544;0.0480717935695257;0.04830157756473128;0.047669761913962175;0.04686353282114158;0.04587931809938742;0.04471354556181762;0.04336264302155013;0.041823038291702856;0.04009115918539375;0.038163433515740745;0.036036289095861755;0.03370615373887472
CSTB;AMB_construction_SNBC;France;Individual_dwelling;MtCO2eq;new;bois;0.00108394154386801;0.00214348991524008;0.0037416396388491703;0.00475210324587712;0.0062748990696574;0.007236469998361085;0.008173859049194255;0.009087104639360277;0.0099762451860627;0.011312366854894547;0.012153066125424867;0.012756230829911534;0.01354933537480589;0.014318526962259635;0.015063844009476399;0.0155982159981764;0.01629618803158519;0.01697039117206946;0.01745316862392946;0.017918747896842793;0.018522375657476275;0.018953558572496275;0.019367543308569605;0.01976432986569627;0.02014391824387627;0.020506308443109602;0.02085150046339627;0.021179494304736268;0.021490289967129598;0.021783887450576266;0.022060286755076264
CSTB;AMB_construction_SNBC;France;Individual_dwelling;MtCO2eq;new;elec;0.0036987270672317702;0.006684346362367865;0.011358370135502865;0.01403244877833496;0.018009700541182623;0.02017052900179237;0.02210676922795052;0.0238245268536975;0.025329894793250242;0.027785962673425063;0.02884496620174514;0.029220673220304635;0.02991589989236088;0.030429010651953203;0.03076602209435195;0.03056627924302173;0.030585120819258883;0.030445771501641468;0.029867226236237703;0.029180750565449606;0.028630584559507878;0.027728209748816037;0.026730716633405698;0.02564237591349904;0.024467458289317776;0.023210234461084094;0.021874975129019706;0.020465950993346794;0.018987432754287062;0.017443691112062707;0.01583899676689555
CSTB;AMB_construction_SNBC;France;Residential_dwelling;MtCO2eq;new;bois;0.00108394154386801;0.00214348991524008;0.0037416396388491703;0.00475210324587712;0.0062748990696574;0.007236469998361085;0.008173859049194255;0.009087104639360277;0.0099762451860627;0.011312366854894547;0.012153066125424867;0.012756230829911534;0.01354933537480589;0.014318526962259635;0.015063844009476399;0.0155982159981764;0.01629618803158519;0.01697039117206946;0.01745316862392946;0.017918747896842793;0.018522375657476275;0.018953558572496275;0.019367543308569605;0.01976432986569627;0.02014391824387627;0.020506308443109602;0.02085150046339627;0.021179494304736268;0.021490289967129598;0.021783887450576266;0.022060286755076264
CSTB;AMB_construction_SNBC;France;Residential_dwelling;MtCO2eq;new;elec;0.010718879761961835;0.01961528406676283;0.03388718703584464;0.04230219692196746;0.05516604473065944;0.062428813965156246;0.06918600421210383;0.07543571069896686;0.08117603414586405;0.09069340277252433;0.09526162800806416;0.09738645163518823;0.10099575373167669;0.10408625877861134;0.10665610045201974;0.10705144163528217;0.10864669087405393;0.10971549489320698;0.1088116331887564;0.10751760163665855;0.10713995693546696;0.10498998794189483;0.10244431660266055;0.09950109875176011;0.0961584902231876;0.09241464685093906;0.08826772446900864;0.08371587891139232;0.07875726601208417;0.07339004160508034;0.06761236152437534
