Model;Scenario;Region;Variable;Unit;Dpe;Ef_Nrj;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
CSTB;AMB_construction_Half;France;Individual_dwelling;MtCO2eq;new;elec;0.0036987270672317702;0.00330413884925623;0.0049175924301304115;0.0030674305290952202;0.004559676122503646;0.0028394153295126763;0.002729213002008506;0.002621122573744223;0.002515139274786273;0.0037242303052731135;0.002308523673514515;0.0016313008149860513;0.002112181973365131;0.0020166627719409753;0.0019232220802184502;0.0013567816349522742;0.0017432785003682555;0.0016560091743927617;0.0011658397007037581;0.0011050395227688802;0.0014077113646950952;0.0009877098671210803;0.0009311803894081547;0.0008760744784358785;0.0008223921342042498;0.000770133356713272;0.0007192981459629434;0.0006698865019532602;0.000621898424684232;0.0005753339141558511;0.0005301929703681193
CSTB;AMB_construction_Half;France;Residential_dwelling;MtCO2eq;new;bois;0.00108394154386801;0.00105954837137207;0.0015981497236090905;0.0010104636070279492;0.001522795823780281;0.0009615709287036853;0.0009373890508331693;0.0009132455901660213;0.0008891405467024224;0.001336121668831849;0.0008406992705303207;0.000603164704486666;0.0007931045448943567;0.0007691915874537467;0.0007453170472167625;0.0005343719887;0.0006979720334087899;0.0006742031404842729;0.0004827774518600001;0.0004655792729133321;0.0006036277606334806;0.00043118291501999815;0.00041398473607333206;0.0003967865571266661;0.0003795883781799982;0.0003623901992333321;0.0003451920202866661;0.00032799384133999816;0.00031079566239333213;0.0002935974834466661;0.0002763993045
CSTB;AMB_construction_Half;France;Residential_dwelling;MtCO2eq;new;elec;0.010718879761961835;0.009819471279029697;0.014994237092563192;0.009600807833094164;0.014657433943882399;0.009379610125060165;0.009269970316860927;0.009159662469249869;0.009048688641972643;0.013803430058154273;0.008821116224111174;0.006431194302591053;0.00859817473119862;0.008483901901809242;0.008368975451219892;0.006112960516724627;0.008140538412888946;0.008023617826364581;0.00586783059630755;0.0057848911788319;0.007675357761489799;0.005617168177875673;0.005532384594395094;0.005446986288912868;0.005360973261429006;0.005274345511943494;0.005187103040456334;0.0050992458469675305;0.005010773931477098;0.0049216872939850075;0.004831985934491269
CSTB;AMB_construction_Half;France;Residential_dwelling;MtCO2eq;new;rcu;0.003941210505242909;0.003906415127765887;0.006043766660825237;0.003919976372410184;0.0060607842595028745;0.003926965595458194;0.003928814681566452;0.003929037140897866;0.0039276369632192274;0.006061640759887101;0.003918369948372851;0.0028891904203552756;0.003905889677780559;0.0038964361615716142;0.003885383946951142;0.0028683810142327596;0.00386009665761342;0.0038442670537599316;0.0028402713055536203;0.0028285199447391995;0.0037904384871489194;0.0028014450362282765;0.0027861214885317835;0.0027696072118746;0.002751902206256724;0.002733006471678161;0.002712920008138909;0.00269164281563897;0.002669174894178335;0.002645516243757011;0.0026206668643749998
CSTB;AMB_construction_SNBC;France;Collective_dwelling;MtCO2eq;new;elec;0.007020152694730065;0.006515332429773467;0.009941111288316271;0.006355230083893273;0.009679042106552477;0.006173530644479474;0.006075871966915772;0.00597282494641716;0.00586440324234159;0.008881933088581108;0.005629170715390566;0.00406538158011435;0.005377242777480291;0.005242152545909011;0.0051017695869028466;0.0036707901265012276;0.00480716929091028;0.004650927048027764;0.0033320424727032367;0.0032109734331347293;0.004154259310630843;0.0029566056215439684;0.002823306849521701;0.0026859315000148554;0.002544479573023411;0.0023989510685473955;0.002249345986586779;0.0020956643271415904;0.0019379060902118004;0.0017760712757974373;0.0016101598838984875
CSTB;AMB_construction_SNBC;France;Collective_dwelling;MtCO2eq;new;rcu;0.003941210505242909;0.003906415127765887;0.005964590678369039;0.003815906203231156;0.005816178616742702;0.0037127674720695736;0.0036572376298452595;0.003598557381383069;0.0035367347062163716;0.005362220672207801;0.003402291955172527;0.0024601027341639103;0.003258179329203883;0.0031807642135278577;0.003100254548344431;0.002234317842665516;0.002931196392412328;0.0028414147788660337;0.0020399738658672404;0.001970429624425058;0.0025558385227632706;0.0018241967677765508;0.0017475081525702306;0.0016684380794425287;0.001586986548393448;0.0015031535594229894;0.0014169391125311496;0.001328343207717932;0.0012373658449833342;0.001144007024327357;0.00104826674575
CSTB;AMB_construction_SNBC;France;Individual_dwelling;MtCO2eq;new;bois;0.00108394154386801;0.00105954837137207;0.0015981497236090905;0.0010104636070279492;0.001522795823780281;0.0009615709287036853;0.0009373890508331693;0.0009132455901660213;0.0008891405467024224;0.001336121668831849;0.0008406992705303207;0.000603164704486666;0.0007931045448943567;0.0007691915874537467;0.0007453170472167625;0.0005343719887;0.0006979720334087899;0.0006742031404842729;0.0004827774518600001;0.0004655792729133321;0.0006036277606334806;0.00043118291501999815;0.00041398473607333206;0.0003967865571266661;0.0003795883781799982;0.0003623901992333321;0.0003451920202866661;0.00032799384133999816;0.00031079566239333213;0.0002935974834466661;0.0002763993045
CSTB;AMB_construction_SNBC;France;Individual_dwelling;MtCO2eq;new;elec;0.0036987270672317702;0.00330413884925623;0.004851449590235484;0.0029837901397224676;0.004370603649110762;0.002680228662468133;0.0025352337615387683;0.002394342857315541;0.002257546409930809;0.0032818443119401676;0.001995376458418729;0.0013816682186793506;0.0017511143914375144;0.0016346471302330903;0.0015222170866574913;0.0010471558688610698;0.0013099725487270952;0.001209555781758101;0.000826166508050994;0.0007581976547435615;0.0009330453049259663;0.0006308013485726007;0.0005713738957090667;0.0005147935763268337;0.0004610603904258943;0.0004101743380062578;0.00036213541906791766;0.000316943633610876;0.0002745989816351327;0.0002351014631406896;0.0001984510781275447
CSTB;AMB_construction_SNBC;France;Residential_dwelling;MtCO2eq;new;bois;0.00108394154386801;0.00105954837137207;0.0015981497236090905;0.0010104636070279492;0.001522795823780281;0.0009615709287036853;0.0009373890508331693;0.0009132455901660213;0.0008891405467024224;0.001336121668831849;0.0008406992705303207;0.000603164704486666;0.0007931045448943567;0.0007691915874537467;0.0007453170472167625;0.0005343719887;0.0006979720334087899;0.0006742031404842729;0.0004827774518600001;0.0004655792729133321;0.0006036277606334806;0.00043118291501999815;0.00041398473607333206;0.0003967865571266661;0.0003795883781799982;0.0003623901992333321;0.0003451920202866661;0.00032799384133999816;0.00031079566239333213;0.0002935974834466661;0.0002763993045
CSTB;AMB_construction_SNBC;France;Residential_dwelling;MtCO2eq;new;elec;0.010718879761961835;0.009819471279029697;0.014792560878551754;0.009339020223615742;0.01404964575566324;0.008853759306947607;0.008611105728454539;0.0083671678037327;0.008121949652272399;0.012163777400521275;0.007624547173809296;0.005447049798793699;0.007128357168917806;0.006876799676142101;0.006623986673560338;0.004717945995362297;0.006117141839637376;0.005860482829785865;0.0041582089807542305;0.00396917108787829;0.0050873046155568095;0.003587406970116569;0.003394680745230768;0.0032007250763416892;0.0030055399634493054;0.0028091254065536536;0.002611481405654696;0.002412607960752466;0.002212505071846933;0.002011172738938127;0.0018086109620260322
