model;scenario;region;variable;unit;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
CSTB;BAU_construction;France;Collective_dwelling;Number of dwelling;143592.33;143592.33;186592.33;143592.33;186592.33;143592.33;143592.33;143592.33;143592.33;186592.33;143592.33;100592.32999999999;143592.33;143592.33;143592.33;100592.32999999999;143592.33;143592.33;100592.32999999999;100592.32999999999;143592.33;100592.32999999999;100592.32999999999;100592.32999999999;100592.32999999999;100592.32999999999;100592.32999999999;100592.32999999999;100592.32999999999;100592.32999999999;100592.32999999999
CSTB;BAU_construction;France;Collective_dwelling;Surface in m2;8184762.81;8184762.81;10635762.809999999;8184762.81;10635762.809999999;8184762.81;8184762.81;8184762.81;8184762.81;10635762.809999999;8184762.81;5733762.81;8184762.81;8184762.81;8184762.81;5733762.81;8184762.81;8184762.81;5733762.81;5733762.81;8184762.81;5733762.81;5733762.81;5733762.81;5733762.81;5733762.81;5733762.81;5733762.81;5733762.81;5733762.81;5733762.81
CSTB;BAU_construction;France;Individual_dwelling;Number of dwelling;57171.020277777774;57171.020277777774;74291.39064814814;57171.020277777774;74291.39064814814;57171.020277777774;57171.020277777774;57171.020277777774;57171.020277777774;74291.39064814814;57171.020277777774;40050.6499074074;57171.020277777774;57171.020277777774;57171.020277777774;40050.6499074074;57171.020277777774;57171.020277777774;40050.6499074074;40050.6499074074;57171.020277777774;40050.6499074074;40050.6499074074;40050.6499074074;40050.6499074074;40050.6499074074;40050.6499074074;40050.6499074074;40050.6499074074;40050.6499074074;40050.6499074074
CSTB;BAU_construction;France;Individual_dwelling;Surface in m2;6174470.1899999995;6174470.1899999995;8023470.1899999995;6174470.1899999995;8023470.1899999995;6174470.1899999995;6174470.1899999995;6174470.1899999995;6174470.1899999995;8023470.1899999995;6174470.1899999995;4325470.1899999995;6174470.1899999995;6174470.1899999995;6174470.1899999995;4325470.1899999995;6174470.1899999995;6174470.1899999995;4325470.1899999995;4325470.1899999995;6174470.1899999995;4325470.1899999995;4325470.1899999995;4325470.1899999995;4325470.1899999995;4325470.1899999995;4325470.1899999995;4325470.1899999995;4325470.1899999995;4325470.1899999995;4325470.1899999995
CSTB;BAU_construction;France;Residential_dwelling;Number of dwelling;200763.35027777776;200763.35027777776;260883.72064814813;200763.35027777776;260883.72064814813;200763.35027777776;200763.35027777776;200763.35027777776;200763.35027777776;260883.72064814813;200763.35027777776;140642.9799074074;200763.35027777776;200763.35027777776;200763.35027777776;140642.9799074074;200763.35027777776;200763.35027777776;140642.9799074074;140642.9799074074;200763.35027777776;140642.9799074074;140642.9799074074;140642.9799074074;140642.9799074074;140642.9799074074;140642.9799074074;140642.9799074074;140642.9799074074;140642.9799074074;140642.9799074074
CSTB;BAU_construction;France;Residential_dwelling;Surface in m2;14359233.0;14359233.0;18659233.0;14359233.0;18659233.0;14359233.0;14359233.0;14359233.0;14359233.0;18659233.0;14359233.0;10059233.0;14359233.0;14359233.0;14359233.0;10059233.0;14359233.0;14359233.0;10059233.0;10059233.0;14359233.0;10059233.0;10059233.0;10059233.0;10059233.0;10059233.0;10059233.0;10059233.0;10059233.0;10059233.0;10059233.0
