Model;Scenario;Region;Variable;Unit;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
BDNB;HDS;France;Residential_dwelling;Number of dwellings;161484;161484;161484;161484;161484;161484;161484;161484;161484;161484;161484;161484;161484;161484;161484;161484;161484;161484;161484;161484;161484;161484;161484;161484;161484;161484;161484;161484;161484;161484;161484
BDNB;HDS;France;Residential_dwelling;Surface in m2;13957513;13957513;13957513;13957513;13957513;13957513;13957513;13957513;13957513;13957513;13957513;13957513;13957513;13957513;13957513;13957513;13957513;13957513;13957513;13957513;13957513;13957513;13957513;13957513;13957513;13957513;13957513;13957513;13957513;13957513;13957513
BDNB;HDS;France;Collective_dwelling;Number of dwellings;66159;66159;66159;66159;66159;66159;66159;66159;66159;66159;66159;66159;66159;66159;66159;66159;66159;66159;66159;66159;66159;66159;66159;66159;66159;66159;66159;66159;66159;66159;66159
BDNB;HDS;France;Collective_dwelling;Surface in m2;3901597;3901597;3901597;3901597;3901597;3901597;3901597;3901597;3901597;3901597;3901597;3901597;3901597;3901597;3901597;3901597;3901597;3901597;3901597;3901597;3901597;3901597;3901597;3901597;3901597;3901597;3901597;3901597;3901597;3901597;3901597
BDNB;HDS;France;Individual_dwelling;Number of dwellings;95324;95324;95324;95324;95324;95324;95324;95324;95324;95324;95324;95324;95324;95324;95324;95324;95324;95324;95324;95324;95324;95324;95324;95324;95324;95324;95324;95324;95324;95324;95324
BDNB;HDS;France;Individual_dwelling;Surface in m2;10055917;10055917;10055917;10055917;10055917;10055917;10055917;10055917;10055917;10055917;10055917;10055917;10055917;10055917;10055917;10055917;10055917;10055917;10055917;10055917;10055917;10055917;10055917;10055917;10055917;10055917;10055917;10055917;10055917;10055917;10055917
BDNB;MDS;France;Residential_dwelling;Number of dwellings;81577;81577;81577;81577;81577;81577;81577;81577;81577;81577;81577;81577;81577;81577;81577;81577;81577;81577;81577;81577;81577;81577;81577;81577;81577;81577;81577;81577;81577;81577;81577
BDNB;MDS;France;Residential_dwelling;Surface in m2;7016440;7016440;7016440;7016440;7016440;7016440;7016440;7016440;7016440;7016440;7016440;7016440;7016440;7016440;7016440;7016440;7016440;7016440;7016440;7016440;7016440;7016440;7016440;7016440;7016440;7016440;7016440;7016440;7016440;7016440;7016440
BDNB;MDS;France;Collective_dwelling;Number of dwellings;33550;33550;33550;33550;33550;33550;33550;33550;33550;33550;33550;33550;33550;33550;33550;33550;33550;33550;33550;33550;33550;33550;33550;33550;33550;33550;33550;33550;33550;33550;33550
BDNB;MDS;France;Collective_dwelling;Surface in m2;1968120;1968120;1968120;1968120;1968120;1968120;1968120;1968120;1968120;1968120;1968120;1968120;1968120;1968120;1968120;1968120;1968120;1968120;1968120;1968120;1968120;1968120;1968120;1968120;1968120;1968120;1968120;1968120;1968120;1968120;1968120
BDNB;MDS;France;Individual_dwelling;Number of dwellings;48027;48028;48029;48030;48031;48032;48033;48034;48035;48036;48037;48038;48039;48040;48041;48042;48043;48044;48045;48046;48047;48048;48049;48050;48051;48052;48053;48054;48055;48056;48057
BDNB;MDS;France;Individual_dwelling;Surface in m2;5048321;5048321;5048321;5048321;5048321;5048321;5048321;5048321;5048321;5048321;5048321;5048321;5048321;5048321;5048321;5048321;5048321;5048321;5048321;5048321;5048321;5048321;5048321;5048321;5048321;5048321;5048321;5048321;5048321;5048321;5048321
