Model;Scenario;Region;Variable;Unit;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
CSTB_FF;BAU;France;Residential_dwelling;%;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002
CSTB_FF;BAU;France;Collective_dwelling;%;0.00107;0.00107;0.00107;0.00107;0.00107;0.00107;0.00107;0.00107;0.00107;0.00107;0.00107;0.00107;0.00107;0.00107;0.00107;0.00107;0.00107;0.00107;0.00107;0.00107;0.00107;0.00107;0.00107;0.00107;0.00107;0.00107;0.00107;0.00107;0.00107;0.00107;0.00107
CSTB_FF;BAU;France;Individual_dwelling;%;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082
CSTB_FF;BTPFlux_min;France;Collective_dwelling;%;0.00047;0.00047;0.00047;0.00047;0.00047;0.00047;0.00047;0.00047;0.00047;0.00047;0.00047;0.00047;0.00047;0.00047;0.00047;0.00047;0.00047;0.00047;0.00047;0.00047;0.00047;0.00047;0.00047;0.00047;0.00047;0.00047;0.00047;0.00047;0.00047;0.00047;0.00047
CSTB_FF;BTPFlux_min;France;Individual_dwelling;%;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082
CSTB_FF;BTPFlux_max;France;Collective_dwelling;%;0.013;0.013;0.013;0.013;0.013;0.013;0.013;0.013;0.013;0.013;0.013;0.013;0.013;0.013;0.013;0.013;0.013;0.013;0.013;0.013;0.013;0.013;0.013;0.013;0.013;0.013;0.013;0.013;0.013;0.013;0.013
CSTB_FF;BTPFlux_max;France;Individual_dwelling;%;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226
ADEME;Tendanciel;France;Residential_dwelling;Number of dwellings;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000
ADEME;S1;France;Residential_dwelling;Number of dwellings;64000;64000;64000;64000;64000;64000;64000;64000;64000;64000;64000;64000;64000;64000;64000;64000;64000;64000;64000;64000;64000;64000;64000;64000;64000;64000;64000;64000;64000;64000;64000
ADEME;S2;France;Residential_dwelling;Number of dwellings;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000
ADEME;S3;France;Residential_dwelling;Number of dwellings;169000;169000;169000;169000;169000;169000;169000;169000;169000;169000;169000;169000;169000;169000;169000;169000;169000;169000;169000;169000;169000;169000;169000;169000;169000;169000;169000;169000;169000;169000;169000
ADEME;S4;France;Residential_dwelling;Number of dwellings;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000;91000
BDNB;ABC;France;Residential_dwelling;Number of dwellings;1670;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BDNB;ABC;France;Residential_dwelling;Surface in m2;75367;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BDNB;ABC;France;Collective_dwelling;Number of dwellings;940;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BDNB;ABC;France;Collective_dwelling;Surface in m2;34642;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BDNB;ABC;France;Individual_dwelling;Number of dwellings;730;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BDNB;ABC;France;Individual_dwelling;Surface in m2;40725;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BDNB;AB;France;Residential_dwelling;Number of dwellings;161484;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BDNB;AB;France;Residential_dwelling;Surface in m2;13957513;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BDNB;AB;France;Collective_dwelling;Number of dwellings;66159;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BDNB;AB;France;Collective_dwelling;Surface in m2;3901597;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BDNB;AB;France;Individual_dwelling;Number of dwellings;95324;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BDNB;AB;France;Individual_dwelling;Surface in m2;10055917;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
